aaaa 晶晶
bipj 多平
bipk 多快
bipm 多性
bipm 多恆
bipn 多愉
bipp 多忽
bipp 多比
bipr 多句
bips 多切
bipt 多世
bipu 多包
bipv 多忙
bipv 多恨
bipv 多懷
bipw 多惱
bipz 多疑
biqa 多拍
biqa 多措
biqa 多春
biqa 多替
biqb 多捐
biqb 多掃
biqb 多揣
biqb 多搞
biqb 多攜
biqb 多青
biqb 腑臟
biqc 多探
biqc 多損
biqc 多撰
biqc 多擴
biqc 多責
biqd 多抹
biqd 多拖
biqd 多掙
biqd 多採
biqd 多操
biqe 多技
biqe 多投
biqe 多搜
biqe 多撥
biqe 多泰
biqf 多擦
biqf 多素
biqg 多扭
biqg 多挫
biqg 多推
biqg 多擁
biqg 多攤
biqh 多先
biqh 多扮
biqi 多找
biqi 多毒
biqi 多蠢
biqj 多揮
biqj 多攝
biqk 多契
biqk 多換
biqk 多摸
biqk 多撒
biql 多抑
biql 多折
biql 多排
biql 多擠
biqm 多抵
biqm 多控
biqm 多生
biqn 多打
biqn 多挖
biqo 多夫
biqo 多抓
biqo 多挑
biqo 多據
biqp 多批
biqp 多指
biqp 多擺
biqq 多奉
biqq 多持
biqq 多捧
biqq 多撐
biqr 多哲
biqr 多扣
biqr 多招
biqr 多搭
biqr 多擔
biqs 多拗
biqs 多搶
biqs 多靜
biqt 多拉
biqt 多拼
biqu 多抱
biqu 多插
biqu 多搖
biqu 多耗
biqu 多規
biqv 多按
biqv 多接
biqv 多揭
biqv 多表
biqw 多抽
biqw 多描
biqw 多播
biqw 多擋
biqw 多攪
biqw 多看
biqy 多掛
biqz 多手
biqz 多扯
biqz 多捉
biqz 多提
biqz 多擬
bira 多吧
bira 多唱
bira 多踏
birb 多嘴
birc 多只
birc 多噴
birc 多噸
birc 多跡
bird 多呆
bird 多味
bird 多呼
bird 多咪
bird 多嘛
bird 多噪
bird 胎模
bire 多吸
birf 多嗎
birg 多吐
birg 多呈
birg 多唯
birg 多喔
birg 多躍
birg 多雖
birh 胎兒
birh 胎盤
biri 多哦
biri 多戰
biri 胎座
birj 貽害
birk 多吳
birk 多唉
birk 多喉
birk 多嚴
birk 胎痣
birl 多叫
birl 多哪
birm 胎壓
birm 胎死
birn 多別
birn 多喇
birn 胎發
biro 胎位
birp 多呢
birp 多唸
birp 多民
birq 胎生
birr 多品
birr 多哈
birr 多唔
birr 多啊
birr 多器
birr 多路
birs 多另
birs 多距
birs 多跨
birs 胎的
birt 多啦
birt 貽羞
birv 多喝
birv 多跟
biry 胎記
birz 多口
birz 多足
birz 月台
bis  多的
bisa 多屠
bisa 多層
bisa 多習
bisa 多職
bisb 多騙
bisc 多匹
bisc 多碰
bisc 多賢
bisd 多屎
bisd 多碟
bise 多取
bise 多取
bise 多尿
bise 多破
bisf 多碼
bisf 多緊
bisf 多馬
bisg 贓款
bish 贓物
bisi 多屬
bisi 多聆
bisi 多騷
bisj 多碎
bisj 多翠
bisj 多耳
bisj 贓官
bisk 多改
bisk 多硬
bisl 多耶
bisl 多聊
bisl 多那
bism 多騎
biso 多尺
biso 多歐
biso 多砍
biso 多聚
biso 多驟
bisp 多尼
bisp 多忌
bisp 多忍
bisp 多聰
bisp 多聽
bisq 多尋
bisq 多群
bisr 多加
bisr 多區
bisr 多司
bisr 多君
bisr 多局
bisr 多居
bisr 多臨
biss 多巨
biss 多聘
bist 多監
bist 多研
bist 多聯
bisu 多尾
bisu 多己
bisu 多已
bisu 多碗
bisv 多展
bisv 多長
bisw 多醫
bisy 多於
bita 多普
bita 多著
bita 多藉
bitb 多幕
bitb 多期
bitb 多萬
bitc 多並
bitc 多共
bitc 多其
bitc 多典
bitc 多兼
bitc 多黃
bitd 多某
bitd 多茶
bitd 多菜
bitd 多葉
bitd 多藥
bitd 多蘇
bite 多樣
bitf 多驚
bitg 多難
bith 多剪
bith 多芬
bith 多首
biti 多義
bitj 多草
bitj 多華
bitj 多革
bitk 多散
bitk 多敬
bitk 多美
bitk 多英
bitk 多莫
bitl 多斯
bitl 多鄭
bitm 多差
bitm 多甘
bitm 多薩
bitn 多前
bitn 多夢
bitn 多莉
bito 多欺
bito 多歡
bito 多蒙
bitp 多惹
bitp 多慈
bitp 多慕
bitp 多花
bitq 多尊
bitq 多羊
bitq 多薄
bitr 多善
bitr 多若
bitr 多苦
bitr 多荷
bitr 多落
bits 多勸
bits 多藏
bitt 多井
bitt 多益
bitt 多蓋
bitt 多藍
bitu 多廿
bitu 多瓶
bitu 多舊
bitu 多荒
bitu 多觀
bitv 多甚
bitv 多艱
bitv 多農
bitv 多養
bitw 多蘭
bity 多菲
bity 多警
bitz 多芝
biu  多山
biuc 多嶺
biuf 多崇
biuj 多峰
biul 多嶄
biun 多學
biut 多豐
biuu 多出
biuu 多艷
biuv 多幽
biuw 多覺
biv  多女
biva 多婚
biva 多響
bivb 多婦
bivb 多嬌
bivc 多妳
bivd 多樂
bivf 多媽
bivf 多災
bivg 多壯
bivh 多妙
bivh 多姊
bivi 多幾
bivk 多收
bivl 多娜
bivl 多斷
bivl 多鄉
bivm 多姓
bivn 多好
bivn 多彎
bivo 多以
bivo 多嫁
bivp 多恕
bivp 多戀
bivq 多將
bivr 多如
bivr 多始
bivs 多努
bivs 多奶
bivs 多幻
bivs 多幼
bivt 多媒
bivv 多裝
bivy 多她
bivz 多後
biw  多了
biw  多田
biwa 多話
biwc 多四
biwc 多圓
biwc 多異
biwc 多顆
biwd 多困
biwd 多果
biwf 多瞧
biwf 多瞭
biwf 多累
biwf 多罵
biwf 多黑
biwg 多墨
biwg 多羅
biwg 多里
biwh 多盼
biwh 多見
biwi 多母
biwj 多毋
biwj 多畢
biwk 多因
biwk 多默
biwl 多甲
biwl 多界
biwm 多睡
biwm 多置
biwn 多罰
biwn 多野
biwo 多囚
biwo 多眾
biwp 多思
biwp 多恩
biwp 多愚
biwp 多眠
biwp 多罷
biwq 多圍
biwq 多團
biwr 多回
biwr 多固
biwr 多略
biws 多男
biwt 多曲
biwu 多圈
biwv 多園
biwv 多眼
biww 多國
biwy 多點
biwz 多買
bixa 多繪
bixb 多納
bixb 多組
bixc 多紛
bixd 多練
bixe 多級
bixe 多綠
bixf 多絲
bixf 多綜
bixg 多結
bixh 多線
bixi 多約
bixi 多繼
bixk 多繳
bixk 多變
bixl 多糾
bixm 多紅
bixm 多纖
bixn 多紐
bixo 多維
bixo 多緣
bixp 多紙
bixp 多總
bixr 多給
bixs 多絕
bixt 多編
bixu 多紀
bixu 多純
bixu 多綱
bixu 多繞
bixv 多網
bixw 多細
bixy 多終
bixz 多經
bixz 多縱
biy  多是
biya 多也
biya 多諸
biya 多識
biya 多音
biyb 多端
biyc 多亦
biyc 多六
biyc 多讀
biyc 多讚
biyc 多顏
biyd 多享
biyd 多新
biyd 多施
biyd 多桌
biyd 多棄
biyd 多謀
biyd 多謎
biye 多夜
biye 多毅
biye 多設
biye 多護
biyf 多就
biyf 多熟
biyf 多談
biyg 多主
biyg 多望
biyg 多童
biyg 多註
biyg 多誰
biyg 多雜
biyg 多離
biyh 多竟
biyi 多戲
biyi 多玄
biyj 多卓
biyj 多章
biyj 多計
biyj 多訊
biyj 多許
biyj 多評
biyj 多譯
biyj 多辛
biyj 多辦
biyj 多辯
biyk 多放
biyk 多效
biyk 多敵
biyk 多文
biyk 多族
biyk 多獻
biyk 多誤
biyl 多市
biyl 多訓
biyl 多辣
biym 多上
biym 多產
biym 多虛
biym 多試
biyn 多刻
biyn 多剖
biyn 多劇
biyn 多劑
biyn 多處
biyn 多訂
biyn 多贏
biyo 多你
biyo 多該
biyo 多豪
biyp 多忘
biyp 多意
biyp 多慮
biyp 多託
biyp 多認
biyp 多龍
biyq 多謝
biyr 多商
biyr 多站
biyr 多言
biyr 多詞
biyr 多語
biyr 多調
biyr 多諮
biyr 多諾
biyr 多鹹
biys 多方
biys 多虧
biyt 多立
biyt 多證
biyu 多亮
biyu 多充
biyu 多毫
biyu 多盲
biyu 多競
biyu 多親
biyu 多記
biyv 多哀
biyv 多旅
biyv 多衣
biyv 多衰
biyv 多讓
biyv 多餐
biyw 多課
biyy 多卡
biyy 多訴
biyz 多証
biz  多之
biz  月我
biza 多迫
biza 多退
biza 多遭
bizb 多肯
bizb 多遍
bizb 多適
bizc 多述
bizc 多選
bizc 多遺
bizc 多頻
bizd 多柴
bizd 多途
bizd 多速
bizd 多遊
bize 多歧
bize 多返
bizf 多紫
bizf 多迷
bizg 多逛
bizg 多遠
bizh 多步
bizi 多歲
bizj 多逢
bizj 多連
bizj 多運
bizj 多避
bizk 多送
bizk 多邀
bizl 多近
bizm 多些
bizn 多通
bizn 多逾
bizo 多逃
bizo 多進
bizo 多遂
bizp 多此
bizq 多達
bizr 多迴
bizr 多追
bizr 多造
bizr 多週
bizr 多齣
bizs 多邊
bizt 多逗
bizt 多道
bizu 多導
bizu 多逆
bizu 多遙
bizv 多還
bizw 多迪
bizw 多遇
bizy 多這
bizz 多延
bjab 賭具
bjac 賭錢
bjad 賭本
bjae 賭注
bjag 賭城
bjag 賭場
bjah 賭徒
bjai 軍閥
bjaj 賭博
bjak 賭友
bjal 賭帳
bjam 賭王
bjan 軍門
bjao 賭氣
bjaq 賭搏
bjar 賭咒
bjas 賭局
bjaw 賭了
bjay 賭贏
bjaz 賭過
bjbb 肺腑
bjbb 肺部
bjbe 肺泡
bjbe 軍服
bjbf 肺炎
bjbg 肺熱
bjbk 肺病
bjbk 肺癌
bjbl 肺裡
bjbo 肺氣
bjbq 軍用
bjbt 肺葉
bjdc 軍棋
bjdg 軍權
bjdk 軍校
bjdm 脖頸
bjdn 脖子
bjdt 軍械
bjdw 軍東
bjdz 軍機
bjeb 肢體
bjeg 軍法
bjeh 肢節
bjen 肢解
bjeu 軍港
bjey 肢端
bjey 肢離
bjf  軍火
bjfg 軍糧
bjfr 軍營
bjfw 軍眷
bjge 軍報
bjgl 軍都
bjgy 軍地
bjha 軍籍
bjhb 軍師
bjhe 軍役
bjhf 軍徽
bjhg 軍種
bjhi 軍風
bjhl 軍所
bjhl 軍管
bjhn 軍制
bjhn 軍銜
bjhs 軍戶
bjht 軍艦
bjhv 軍委
bjib 髖骨
bjik 軍犬
bjiq 軍府
bjit 軍禮
bjiv 軍威
bjjc 軍實
bjjj 軍車
bjjl 軍事
bjjm 軍士
bjjr 軍官
bjks 軍力
bjky 軍頭
bjl  月事
bjl  軍中
bjla 軍書
bjlc 軍費
bjlw 軍帽
bjmb 腔腸
bjmb 軍需
bjmk 軍政
bjml 軍工
bjmn 軍列
bjmo 軍歌
bjmr 腔口
bjms 軍功
bjmy 腔調
bjna 軍階
bjne 貯水
bjnh 貯積
bjnk 貯存
bjno 軍隊
bjns 軍務
bjnt 貯藏
bjo  軍人
bjob 軍備
bjoi 軍令
bjok 軍使
bjor 軍售
bjor 軍餉
bjp  軍心
bjpb 軍情
bjpu 軍屯
bjqe 軍援
bjqu 軍規
bjrb 骷髏
bjrp 軍民
bjrr 月宮
bjrr 軍品
bjrr 軍器
bjry 軍號
bjs  月考
bjs  軍的
bjsa 軍職
bjsf 軍馬
bjsh 軍刀
bjsi 軍屬
bjsr 軍區
bjsv 軍長
bjsw 軍醫
bjtp 軍靴
bjty 軍警
bjub 腕部
bjub 腕骨
bjuc 腕錶
bjuh 腕管
bjuk 腕力
bjuk 腕帶
bjuk 腕痛
bjum 腕式
bjuq 腕表
bjur 腕足
bjuy 腕龍
bjvd 軍樂
bjvv 軍裝
bjwl 軍界
bjwq 軍團
bjww 軍國
bjxu 軍紀
bjyc 軍旗
bjyg 軍主
bjyl 軍訓
bjys 軍方
bjyv 軍旅
bkbb 賄賂
bkbg 賄款
bkbz 月有
bkbz 賄選
bkgb 雞肋
bkgd 雞皮
bkge 雞湯
bkgf 雞精
bkgg 雞塊
bkgh 雞爪
bkgi 雞犬
bkgj 雞窩
bkgk 雞瘟
bkgk 雞頭
bkgm 雞丁
bkgm 雞西
bkgn 雞蛋
bkgo 雞肉
bkgp 雞心
bkgq 雞排
bkgr 雞叫
bkgr 雞啼
bkgr 雞鳴
bkgs 雞尾
bkgt 雞首
bkgv 雞姦
bkgw 雞眼
bkgx 雞絲
bkhm 央行
bkib 肱骨
bkie 央求
bknb 胰臟
bkne 央及
bko  央人
bkp  月老
bkrc 谿谷
bksa 肋間
bksb 肋骨
bksb 胯部
bksm 胯下
bkso 肋條
bksz 央的
bkuf 腌尖
bkww 央圖
bky  月頭
bkyb 央請
bkz  月大
blaz 腳得
blbb 腳骨
blbl 腳腳
blbo 腳部
blbu 腳亂
blbv 腳腿
blcf 腳鍊
blci 腳鐲
blcj 腳鏈
blcl 腳丫
blct 腳盆
bldb 腳桶
blde 腳板
bldm 腳本
bleq 腳對
blfk 腳尖
blfq 腳掌
blgl 腳都
blgm 腳翹
blgu 腳起
blhg 腳程
blhk 腳臭
blhl 腳印
blhs 腳筋
blhu 腳兒
blhu 腳毛
blid 腳麻
blim 腳底
bljm 腳輕
bljo 腳軟
blkb 腳痛
blkd 腳架
blkq 腳癬
blks 腳力
blky 腳頭
bllb 腳背
bllv 腳數
blm  腳一
blme 腳酸
blmg 腳型
blmh 腳形
blmv 腳環
blmw 腳面
blmy 腳下
blnc 月費
blnn 腳凳
blnu 腳色
blod 腳氣
bloh 腳傷
bloo 腳伕
blp  腳心
blpe 腳慢
blqo 腳夫
blqw 腳擋
blra 腳踏
blrc 腳跡
blrd 腳踝
blrd 腳踩
blrf 腳嗎
blrg 腳踵
blrh 腳踢
blro 腳蹼
blrr 腳啊
blrv 腳跟
blrz 腳趾
bls  月初
bls  腳的
blta 腳著
blvz 月數
blwy 腳點
blxr 腳給
blyb 腓骨
blyg 腳註
blyk 腓力
blym 腳上
blz  月中
blzh 腳步
blzq 腳過
blzy 腳這
bmbb 膈膜
bmbc 且具
bmbi 且多
bmcb 具體
bmcg 具報
bmch 具自
bmck 具有
bmcm 具一
bmcm 具列
bmcn 具名
bmco 具備
bmcr 具吧
bmcr 具呢
bmcr 具嗎
bmcr 具足
bmcs 且鉅
bmcs 具的
bmcu 且說
bmcv 具以
bmcx 具結
bmcy 具文
bmda 月曆
bmeq 且對
bmfa 祭日
bmfb 祭服
bmfe 祭酒
bmff 祭灶
bmfg 祭地
bmfg 祭壇
bmfh 祭拜
bmfi 祭祀
bmfj 祭完
bmfm 祭天
bmfn 祭孔
bmfq 祭掃
bmfr 祭品
bmfs 祭司
bmft 祭典
bmfu 祭出
bmfv 祭好
bmfw 祭了
bmfy 祭文
bmfz 祭過
bmgd 且未
bmgl 且都
bmgn 月琴
bmhc 且與
bmhc 且須
bmhr 且和
bmhz 且從
bmi  且我
bmib 且能
bmie 月球
bmip 且應
bmjb 肝膽
bmjb 肝臟
bmjb 肝部
bmje 肝油
bmjf 肝炎
bmjh 肝風
bmjk 肝疾
bmjk 肝病
bmjk 肝癌
bmjl 肝蛭
bmjm 肝斑
bmjm 肝醣
bmjn 月刊
bmjn 肝陽
bmjo 肝氣
bmjp 肝心
bmjs 肝腎
bmjy 且較
bmkb 且有
bmkg 且在
bml  月工
bmly 且非
bmmb 胚胎
bmmb 胚體
bmmd 胚根
bmmj 胚軸
bmmk 胚布
bmmm 月三
bmmm 胚珠
bmmn 胚子
bmms 胚層
bmmt 胚芽
bmmv 且要
bmmz 且一
bmn  且不
bmnb 且隨
bmnv 且限
bmoa 且會
bmoh 豚鼠
bmoi 且令
bmot 且無
bmov 且依
bmpe 且慢
bmqa 冠冕
bmqb 冠軍
bmqh 冠德
bmqh 冠毛
bmqi 冠禮
bmqm 冠王
bmqn 冠名
bmqs 冠群
bmqs 冠羽
bmqt 冠蓋
bmqv 冠以
bmqv 冠狀
bmqw 且看
bmqx 冠絕
bmqy 冠詞
bmsp 且聽
bmtc 且其
bmth 月形
bmtn 且前
bmva 腰間
bmvb 腰肢
bmvb 腰胯
bmvb 腰腿
bmvb 腰膝
bmvb 腰部
bmvb 腰骨
bmvd 腰板
bmvd 腰桿
bmvd 腰椎
bmve 賑濟
bmvg 腰墊
bmvg 腰鼓
bmvg 賑款
bmvh 腰身
bmvj 腰斬
bmvk 腰力
bmvk 腰帶
bmvl 腰背
bmvm 腰酸
bmvn 腰際
bmvo 且以
bmvo 腰短
bmvp 腰包
bmvq 且將
bmvs 腰刀
bmvt 腰花
bmvv 賑災
bmvw 腰圍
bmvx 腰纏
bmw  月面
bmwf 月票
bmxz 且經
bmya 肛門
bmyc 且亦
bmyc 肛交
bmye 肛溫
bmyo 且該
bmyz 且是
bmyz 月下
bmza 賦閒
bmzh 賦歸
bmzh 賦稅
bmzh 賦與
bmzk 賦有
bmzn 賦予
bmzp 賦性
bmzq 且過
bmzy 賦詩
bmzz 月一
bnaf 則照
bnau 月色
bnbe 則受
bnbq 則用
bnc  月小
bncs 則分
bncu 則說
bndo 孚佑
bndp 則想
bndz 月子
bnet 月盈
bnfw 則省
bngb 則再
bngd 則未
bngi 則去
bngj 則聲
bngl 則都
bngr 則吉
bngw 則賣
bnhb 則稱
bnhc 則與
bnhc 則須
bnhd 則待
bnho 則簽
bnhr 則和
bnhv 則很
bnhw 則自
bnhz 則從
bnib 冤冤
bnib 則能
bnid 冤枉
bnif 冤家
bnih 冤鬼
bnij 冤案
bnik 冤獄
bnim 冤魂
bnio 冤仇
bnip 冤情
bnis 冤屈
bnit 冤孽
bniu 則視
bniy 冤親
bniz 則我
bnjh 則穿
bnjy 則較
bnkb 則有
bnkb 則痛
bnke 則獲
bnkg 則在
bnkj 則帶
bnle 則被
bnlw 則由
bnly 則非
bnm  則一
bnmb 則需
bnmk 則天
bnmr 則否
bnmv 則要
bnn  則不
bnnd 則除
bnnn 則予
bnnr 則可
bnnv 則限
bno  則人
bnoa 則會
bnog 則仕
bnok 則使
bnor 則售
bnos 則仍
bnot 則無
bnov 則依
bnpe 則慢
bnqd 則採
bnqh 則先
bnqo 則據
bnqp 則指
bnqq 則持
bnqv 則按
bnqw 則看
bnra 膽量
bnrd 膽機
bnrd 膽礬
bnre 膽汁
bnrg 則呈
bnrh 膽管
bnrj 膽囊
bnrj 膽寒
bnrk 膽力
bnrk 膽大
bnrm 膽敢
bnrn 膽小
bnrp 膽怯
bnrr 膽戰
bnrt 贍養
bnrw 膽略
bnry 膽識
bnry 膽顫
bnry 膽鹼
bns  則的
bnsi 則屬
bnsp 則聽
bnsu 則已
bnsy 則於
bntc 則並
bntc 則其
bnud 脆皮
bnuh 脆身
bnul 脆片
bnun 脆弱
bnuo 脆餅
bnup 脆性
bnvo 則以
bnvq 則將
bnwh 則見
bnwk 則因
bnwz 則買
bnxi 則約
bnxz 則經
bny  則是
bnyb 則請
bnyc 則亦
bnza 則退
bnzq 則建
bnzy 則這
boab 膾炙
boan 部門
boaz 月會
bob  月內
boch 月份
bocs 部分
bod 部木
bodi 月付
body 身體
bodz 部機
boeb 腹腔
boeb 腹部
boed 腹板
boee 腹瀉
boeg 腹地
boeh 腹稿
boej 腹案
boek 腹痛
boel 腹中
boel 腹背
boem 腹面
boeo 腹內
boeo 腹劍
boep 腹心
boer 腹鳴
boes 腹壁
boew 腹圍
bofb 賒賬
bofc 部類
bofl 賒帳
bofo 賒借
bog  月全
bohb 月偏
bohz 部從
boic 月領
boii 月令
bojj 部車
bojz 部定
bokb 部有
bokq 月俸
boli 月蝕
bolk 部史
bomy 部下
bono 部隊
booa 部會
boob 臉腫
boob 臉部
booc 臉盆
bood 臉皮
booh 臉兒
booh 部份
booi 臉龐
booj 臉額
book 臉頰
boom 臉型
boon 臉孔
boon 臉色
boos 臉的
boot 部位
boow 臉罩
boox 臉紅
booy 臉上
booy 臉譜
booz 月入
boqu 部規
borr 部品
bosi 部屬
bosv 部長
botc 月供
both 部首
botr 部落
bott 月餅
bouk 月缺
bov  月食
bovq 部將
bowa 部署
boxe 部級
boy  月信
boyk 部族
bozy 部這
bpab 脂肪
bpae 脂油
bpaf 脂粉
bpah 脂質
bpay 脂膏
bpcn 胞弟
bpib 豹貓
bpid 豹皮
bpin 豹子
bpin 豹隱
bpix 豹紋
bpjv 胞囊
bpka 胸悶
bpkb 胸肌
bpkb 胸腔
bpkb 胸膛
bpkb 胸部
bpkc 胸針
bpkd 胸椎
bpkg 胸墊
bpkh 胸徑
bpki 胸廓
bpki 胸次
bpkk 胸大
bpkk 胸有
bpkk 胸痛
bpkl 胸襟
bpkn 胸鰭
bpko 胸像
bpko 胸無
bpko 胸肉
bpko 胸飾
bpkp 胸懷
bpkr 胸口
bpkt 胸前
bpkt 胸花
bpkw 胸圍
bpkw 胸罩
bpky 胸衣
bpnd 胞子
bpru 胞兄
bpvb 胞姐
bpvh 胞姊
bpvh 胞姊
bpvj 胞妹
bpvj 胞妹
bpyv 胞衣
bqae 用最
bqag 用量
bqaq 用時
bqat 用開
bqau 用既
bqaz 用得
bqbc 用具
bqbi 用多
bqbj 用辭
bqbl 用腳
bqbq 用用
bqbr 用膳
bqbw 用腦
bqci 用錢
bqcq 用鍵
bqcs 用分
bqct 用錯
bqcu 用說
bqdh 用材
bqdh 用梯
bqdp 用棍
bqds 用槍
bqdt 用來
bqe  用水
bqeb 用滿
bqeg 用法
bqei 用叉
bqeq 用對
bqeu 用洗
bqev 用滾
bqew 用油
bqf  用火
bqfd 用煤
bqfd 用米
bqfh 用少
bqfm 用光
bqfo 用家
bqfy 用料
bqgh 用場
bqgi 用去
bqgl 用都
bqgn 用到
bqgu 用起
bqgv 用壞
bqgy 用地
bqgz 用走
bqhc 用兵
bqhe 用黎
bqhj 用秤
bqhl 用印
bqhn 用箭
bqhq 用特
bqhq 用筆
bqhr 用船
bqhs 用戶
bqht 用血
bqhu 用爬
bqi  用我
bqie 用度
bqif 用為
bqil 用神
bqis 用成
bqja 用者
bqjj 用車
bqjl 用事
bqjn 用字
bqjo 用做
bqjp 用它
bqju 用完
bqjz 用定
bqkb 用有
bqkg 用在
bqkl 用布
bqkm 用左
bqks 用力
bqla 用書
bqlc 用費
bqlt 用盡
bqm  用一
bqmc 用項
bqme 用球
bqmf 用票
bqmg 用至
bqml 用工
bqmn 用刑
bqms 用功
bqmu 用電
bqmz 用武
bqn  用不
bqni 用強
bqno 用久
bqnr 用可
bqnr 用夠
bqnu 用色
bqo  用人
bqoa 用會
bqoc 用他
bqoe 用假
bqoe 用飯
bqoi 用愛
bqol 用劍
bqol 用命
bqon 用偷
bqoo 用肉
bqos 用作
bqow 用個
bqp  用心
bqpb 用情
bqpc 用慣
bqpe 用慢
bqpj 用平
bqpk 用快
bqpm 用性
bqpt 用世
bqpv 用恨
bqq  用手
bqqj 用掉
bqqs 用拐
bqqs 用搶
bqqw 用看
bqr  用口
bqra 用吧
bqrb 用嘴
bqrf 用嗎
bqrg 用喔
bqrl 用哪
bqro 用跳
bqrp 用呢
bqrq 用咩
bqrr 用品
bqrt 用啦
bqru 用跑
bqs  用的
bqsb 用騙
bqsf 用緊
bqsh 用刀
bqsl 用那
bqsp 用聽
bqst 用鹽
bqsy 用於
bqta 用著
bqtb 用期
bqtd 用藥
bqtt 用益
bqtu 用舊
bqua 甩開
bqub 甩甩
bqub 甩肺
bqub 甩脫
bqub 甩腳
bqug 甩到
bqug 甩去
bquh 甩動
bquh 甩身
bqui 甩底
bquk 甩頭
bqul 甩褲
bqum 甩牙
bqun 甩色
bquq 甩掉
bqur 甩嘴
bqus 甩尾
bqus 甩鬚
bqut 甩難
bquu 用出
bquu 甩出
bqv  月表
bqvc 用妳
bqvn 用好
bqvo 用以
bqvy 用她
bqvz 用後
bqw  用了
bqwf 用黑
bqwg 用墨
bqwj 用畢
bqwr 用回
bqws 用男
bqww 用國
bqwy 用點
bqxh 用線
bqxp 用紙
bqxr 用給
bqxu 用繩
bqxv 用網
bqy  用是
bqyf 用就
bqyj 用計
bqym 用上
bqyn 用處
bqyo 用你
bqyp 用意
bqyr 用詞
bqyr 用語
bqyv 用餐
bqz  用之
bqzb 用遍
bqzd 用途
bqzj 用避
bqzm 用些
bqzp 用此
bqzq 用過
bqzs 用邊
bqzy 用這
bra  同日
braa 同間
brac 同題
brag 同量
bran 同門
braq 同時
brat 同盟
brb  同月
brbe 同受
brbp 同胞
brbq 同用
brbz 同體
brcd 同業
brck 同父
brcs 同分
brdk 同校
brdq 同村
brdt 同來
brdv 同樓
brdw 同檔
brdz 同機
bred 同游
bree 同渡
bref 同源
breg 同法
brel 同濟
brem 同江
breq 同對
brer 同治
bret 同溫
breu 同流
brev 同派
brez 同演
brfc 同類
brfd 同榮
brfg 同堂
brfw 同當
brfw 同省
brfz 同黨
brgc 雕鏤
brgd 雕板
brge 雕漆
brgg 同埋
brgg 同臺
brgh 同場
brgi 雕成
brgj 同聲
brgl 雕版
brgl 雕蟲
brgm 雕琢
brgn 同到
brgn 雕弓
brgo 同高
brgo 雕像
brgo 雕飾
brgp 同志
brgt 雕塑
brgx 雕繪
brgy 雕刻
brgz 同走
brhb 同向
brhb 同歸
brhb 同篇
brhc 同質
brhf 同系
brhg 同往
brhg 同種
brhg 同重
brhi 同舟
brhm 同行
brho 彫像
brhp 同乘
brhp 同德
brhp 同物
brhq 同等
brhr 同告
brhr 同船
brhs 同房
brht 同升
brht 彫塑
brhy 彫刻
bri  同我
brid 同床
brie 同度
brie 同慶
brif 同為
brik 同廠
brip 同感
brir 同台
brja 同宿
brjc 同寅
brjc 同穴
brjc 同額
brjd 同案
brje 同支
brjf 同宗
brjg 同室
brjj 同車
brjl 同事
brjn 同字
brjo 同做
brjr 同宮
brjs 同協
brjv 同安
brjw 同窗
brjw 同軸
brjz 同定
brkb 同有
brkb 同病
brkg 同在
brkm 同左
brkr 同右
brkz 同知
brle 同被
brlj 同輩
brlu 同袍
brm  同一
brmc 同項
brmg 同班
brmg 同理
brml 同工
brmn 同列
brmo 同兩
brmp 同惡
brmu 同玩
brmy 同下
brmz 同正
brn  同不
brno 同隊
brnr 同名
brnv 同張
bro  同人
broa 同會
broc 同他
broc 同價
brod 同條
brod 同氣
brof 同僚
brog 同住
brog 同坐
broh 同修
brol 同儕
brom 同仁
bron 同仇
broo 同入
brop 同化
broq 同伴
broq 同年
brot 同位
brov 同食
brow 同個
brp  同心
brpb 同情
brpm 同性
brpp 同比
brql 同排
brqm 同生
brqn 同打
brqp 同指
brqv 同表
brra 同唱
brro 同跳
brrr 同路
brru 同吃
brru 同跑
brry 同號
brs  同的
brsa 同層
brsa 同職
brsf 同碼
brsg 同屋
brsi 同屬
brsk 同改
brsr 同居
brsv 同長
brsy 同於
brtb 同期
brtc 同共
brte 同樣
brti 同義
brtm 同甘
brtn 同夢
brto 同歡
brtp 同花
brtt 同蓋
brun 同學
bruu 同出
brv  同女
brvd 同樂
brvl 同鄉
brvm 同姓
brvn 同好
brvo 同以
brvq 同將
brwc 同異
brwf 同縣
brwi 同母
brwm 同置
brwn 同夥
brww 同國
brwy 同點
brxb 同組
brxe 同級
brxh 同線
brxi 同約
bry  同是
bry  月號
brya 同音
bryb 同論
bryd 同謀
bryi 同戲
bryj 同章
bryk 同文
bryk 同族
bryl 同齊
brym 同上
brym 同產
bryn 同亨
bryn 同訂
bryo 同你
bryp 同意
bryr 同站
bryr 同調
brys 同方
brzd 同遊
brzh 同步
brzi 同歲
brzi 同齡
brzo 同進
brzq 同過
brzq 同達
brzs 同邊
brzt 同道
brzy 同這
bsda 爭得
bsda 爭時
bsdb 爭勝
bsdc 爭鋒
bsdd 爭相
bsde 爭水
bsdf 爭光
bsdg 爭執
bsdh 爭利
bsdh 爭風
bsdi 爭求
bsdj 爭寵
bsdk 爭奪
bsdl 爭鬥
bsdm 爭霸
bsdn 爭名
bsdn 爭強
bsdo 爭氣
bsdq 爭先
bsdr 爭吵
bsds 爭取
bsdt 爭著
bsdu 爭出
bsdu 爭艷
bsdw 爭了
bsdw 爭回
