aaalx 晶片組
hwsp  自己也
hwss  自己的
hwsy  自己是
hwtay 算得上
hwted 算清楚
hwtmh 算一算
hwtnc 算不錯
hwtnh 算不算
hwtp  自尊心
hwud  自覺地
hwvi  自以為
hwyd  自主權
hwyi  自上次
hwyp  自主性
hyghe 往香港
hygho 往往會
hyghy 往往是
hyglw 往中國
hygtg 往前走
hygto 往其他
hyih  科威特
hyje  科索沃
hyjlj 魁北克
hynzc 航運業
hyplh 籠中鳥
hyqb  科技股
hyqc  科技業
hyqs  科技的
hyqw  科技園
hyqw  科技界
hyqw  科技署
hyuf  科學家
hyun  科學院
hyuo  科學化
hyuo  科學館
hyup  科學性
hyuw  科學園
hyxm  科網頁
hzad 從日本
hzbes 歸咎於
hzbms 歸功於
hzbsi 歸屬感
hzbws 歸因於
hzbxi 歸納為
hzcr 從業員
hzde 從來沒
hzdg 從來未
hzdn 從來不
hzek 從沒有
hzgk 從未在
hzhe 從香港
hzik 從現在
hziu 從我們
hzlw 從中國
hzmi 從政府
hzmk 從一九
hzmo 從一個
hzmo 從而使
hzny 從小就
hzoa 從今日
hzom 從今天
hzou 從他們
hzrc 從兄弟
hzto 從其他
hzym 從上面
hzzo 從這個
iagn  我得到
iaoi  我最愛
iazl  我最近
ibaa  能即時
ibag  能得到
ibdh  我剛才
ibgs  能增加
ibho  能符合
ibii  能成為
ibjg  能做到
ibjo  能完全
ibkz  能知道
iblp  能中心
ibmcw 祖父母
ibmhc 祖師爺
ibni  能不能
ibnk  能夠在
ibns  能發展
ibob  能使用
ibok  能會有
ibos  我同佢
ibqo  能提供
ibrn  能吸引
ibst  能改善
ibtz  能藉此
ibwi  能見度
ibwn  能了解
ibxn  能給予
ibyp  我同意
ibzg  能達到
iccu  我爸爸
icdf  廣東省
icdt  廣東菜
icdw  廣東話
icdz  廣東道
ices  廣泛的
icgs  廣場的
ichl  廣告中
ichl  廣告牌
ichs  廣告的
ichs  廣管局
ichx  廣告網
ichy  廣告商
ichy  廣告詞
ici   我說我
icis  廣州的
iciw  廣州話
iciy  廣州市
icks  廣大的
icnc  廣角鏡
icqs  廣播局
icqy  廣播劇
icqy  廣播站
icsr  我公司
icxm  我曾經
idar  我想問
idekc 求知慾
idesj 求職者
ideso 求職信
idgn  我想到
idieh 魔法師
idihh 魔術師
idkd  床頭櫃
idkg  我想在
idmv  我想要
idoy  我相信
idqaj 摩門教
idqau 摩星嶺
idqem 摩洛哥
idqmj 摩天輪
idqms 摩理臣
idqqj 摩托車
idqxm 摩納哥
idyo  我想你
ieee  冰淇淋
iejz  我決定
iekb  我沒有
ieken 救濟院
ieker 救濟品
iekfn 救火隊
iekpb 救世軍
iekqh 救生船
iekqh 救生艇
iekqr 救生員
iekqw 救生圈
iekqy 救生衣
iekyj 救護車
iekyr 救護員
iekyy 救護站
ifbn  為服務
ifbs  為爭取
ifcs  為公司
ifdo  為本位
ifeo  為各位
iffi  為家庭
ifhe  為香港
ifhk  為所有
ifhs  為自己
ifio  為社會
ifiu  為我們
ifjb  為協助
ifjy  為教育
ifka  為有關
ifkyo 廠商會
iflp  為中心
iflw  為中國
ifly  為中文
ifmb  為原則
ifmi  為政府
ifml  為理由
ifmo  為一個
ifmo  為工作
ifmo  為配合
ifns  為發展
ifob  為使用
ifof  為人類
ifoh  為依歸
ifoi  為什麼
ifok  為何在
ifon  為何不
ifoo  為任何
ifoo  為何會
ifoq  為保持
ifor  為人民
ifou  為他們
ifqe  為生活
ifqo  為提供
ifso  為己任
ifso  為確保
ifst  為改善
ifsy  為的是
ifti  為甚麼
ifto  為其他
ifvd  為將來
ifwf  為國家
ifwo  為了使
ifwy  為了讓
ifya  為主題
ifyo  為方便
ifyr  為市民
ifys  為主的
ifyu  為你們
ifzm  為此而
ifzn  為避免
igco  社交舞
igdp  我都想
igio  我再次
igoa  我都會
igof  我都係
igoo  社會化
igop  社會性
igos  社會的
igou  社會學
igoy  社會上
igpbg 應用到
igpbk 應用在
igpbs 應用於
igpbs 應用的
igpby 應用上
igpby 應用文
igpfk 應當在
igpfy 應當是
igphj 應徵者
igphy 應留意
igpks 應有的
igpno 應不會
igpob 應使用
igppq 應包括
igpqo 應提供
igpsn 應加強
igpvl 應收帳
igpxn 應給予
igpya 應立即
igpyc 應該說
igpyk 應該在
igpyk 應該有
igpyo 應該係
igpyo 應該會
igpyy 應該是
igpzn 應避免
igvn  我都好
igy   我都是
ihdt  我從來
ihkb  我所有
ihliy 祈禱文
ihmhh 底特律
ihqso 牟尼佛
ihsu  我自己
ihuys 允許的
ihvy  我和她
ihyo  我和你
ihyo  我與你
iiboi 朗拿度
iign  我感到
iihhj 參與者
iihjj 參賽者
iihjl 參考書
iihjs 參賽的
iihmd 參政權
iihsj 參加者
iihsy 參展商
iihtj 參觀者
iihyn 參議院
iihyr 參議員
iihzo 參選人
iikg  我現在
iinr  我能夠
iiyo  我應該
iizg  我永遠
ijjns 庫務司
ijjns 庫務局
ijjnw 庫務署
ijjym 庫主頁
ijof  我真係
ijs   我真的
ikow  我有個
ikutk 尤其在
ikutm 尤其要
ikuty 尤其是
ikyg  我希望
ikzp  我在此
ikzt  我知道
ilebn 康服務
ilebs 康體局
ileio 康康舞
ileng 康乃馨
ileyw 康文署
ilhi  神秘感
ilhq  神射手
ilrdo 唐樹備
ilrfm 唐家璇
ilrkw 唐老鴨
ilrmt 唐三藏
ilroh 唐人街
ilrto 唐英年
ilth  神農氏
imbn  或服務
imby  或然率
imcs  或公司
imeay 廈門市
imgi  我要去
imhb  我一向
imhe  或香港
imie  我要求
imjc  或者說
imjf  或資料
imjy  或者是
imka  或有關
immi  或政府
immm  或需要
immo  或一個
immo  或工作
immv  我需要
imob  或使用
imoo  或任何
imow  我一個
imqo  或提供
imryi 咸認為
imtm  或甚至
imto  或其他
imvm  或以下
imvy  或以上
imyo  或許會
imyp  我願意
imyy  或許是
inak 現時有
inat 現時並
inaz  我不得
incl  現金帳
incl  現金流
indp  我不想
ineno 永不會
inenp 永久性
inens 永久的
ineps 永恆的
inezs 永遠的
inezy 永遠是
inhe 現行法
inhs 現行的
inib  我不能
inib  我可能
injl 現實中
inks 現有的
inky 現在是
inmv  我不要
inmyh 廢棄物
innh 現階段
inoa  我不會
inoi 現代感
inol 現代史
inoo 現代化
inoo 現代舞
inop 現代性
inos 現今的
inoy 現代詩
inrr  我又唔
invo  我可以
iny   我不是
iobf  我仍然
iogjy 准考證
ioidn 冷板凳
ioiee 冷清清
ioihh 冷颼颼
ioiii 冷冰冰
ioiir 冷凝器
ioiis 冷冷的
ioijo 冷空氣
ioiod 冷氣機
ioioi 冷飲店
ioiu  次我們
iokg  我會在
iookc 座右銘
iootk 座落在
iooyj 座上客
iooyo 座談會
ioqv  我代表
ioyo  我愛你
ioyo  次文化
ipbg  感受到
ipdp  我也想
ipee  我也沒
ipeio 慶祝會
ipek  感染力
ipemj 慶功宴
ipha  感動得
iphg  感興趣
iphls 祕書長
iphly 祕書處
ipir  感應器
ipkb  我也有
ipn   我也不
ipoa  我也會
ippis 態度的
ippy  感情上
ipug  感覺到
ipus  感覺的
ipuy  感覺上
ipy   我也是
ipyy  感謝你
ipzsk 凝聚力
iqai  專門店
iqbs  專用區
iqbs  專用的
iqcl  專業版
iqco  專業人
iqco  專業化
iqcp  專業性
iqcs  專業的
iqcy  專業課
iqek  專注力
iqfu  專家們
iqgi  專賣店
iqgn  我看到
iqhd  專利權
iqhd  專程來
iqht  我打算
iqjx  專案組
irdp  我唔想
iref  台灣省
irek  台灣大
ireo  台灣人
irhm  台積電
irjw  台南縣
irjy  台南市
irkb  我只有
irkz  我唔知
irlw  台中縣
irlw  台北縣
irly  台中市
irly  台北市
irmo  台一個
iroa  我唔會
irof  我只係
irof  我唔係
irukf 祝大家
iryo  我跟你
isaa  成問題
isag  成日都
isca  成交量
iscb  成分股
iscj  成交額
isco  成交價
isds  成本的
isfho 馮德倫
isgn  我聽到
isgy  成都市
ismd  成功地
ismi  成功感
ismk  我的天
ismo  成一個
ismp  成正比
ismss 成功的
ismw  成功了
ismy  成功率
isob  成份股
isoo  成年人
isp   我的心
isq   我的手
isrw  成員國
isss  成長的
issy  成長率
istks 盛大的
isvy  成以上
isxm  我已經
isxq  成績表
isxr  成績單
isyi  成就感
itcjs 廉宜的
iteod 度假村
iteos 度假屋
itqh  戒毒所
itthf 禮拜堂
ittji 禮賓府
ittjs 禮賓司
ittri 禮品店
ityg  我期望
iuaz  我覺得
iubq  我們用
iudp  我們想
iugl  我們都
iugz  我們走
iuip  我們應
iuix  視神經
iukb  我們有
iukg  我們在
iumk  我們更
iumv  我們要
iumz  我們正
iun   我們不
iuoa  我們會
iupd  我們也
ius   我們的
iusu  我們已
iuuy  視學處
iuvo  我們以
iuvq  我們將
iuxb  視網膜
iuy   我們是
iuyc  我們亦
iuyf  我們就
ivdp  我好想
ivif  我以為
ivjs  威士忌
ivmj  威爾士
ivmp  威靈頓
ivmt  威爾斯
ivst  威尼斯
ivtn  我以前
ivvf  我媽媽
iwdt  我回來
iwgn  我回到
iwgn  我見到
iwho  福利會
iwhs  福利局
iwhs  福利的
iwkt  福布斯
iwn   我了解
iwnq  我了解
iwyl  福音書
iwzf  福建省
ixyo  我給你
iyif  我認為
iypks 龐大的
iypwi 龐畢度
iyrnm 店小二
iyy   我就是
iyyg  我是誰
izgi  我過去
izkb  我還有
izkg  我還在
iztn  我之前
izy   我還是
izyi  我建議
jafof 煮食爐
jaif  者資料
jaiu  者我們
jaka  者有關
jamm  者需要
janv  者可以
jaob  者使用
japq  者包括
jaqo  者提供
javoi 宴會廳
jbad  直昇機
jbfug 察覺到
jbhd  直升機
jbjah 南昌街
jbjch 南丫島
jbjfm 南半球
jbjlj 南北朝
jbjqw 南投縣
jbjte 南美洲
jbjy  直轄市
jbjyy 南京市
jbmk  十多天
jbo   十多人
jboh  十月份
jboq  十周年
jboq  十多年
jbot  十多位
jbow  十多個
jbqj  直播室
jbqk  直接在
jbqq  直挺挺
jbqs  直接的
jbtb  十多萬
jbvlh 囊中物
jbzi  十多歲
jbzj  直通車
jcblh 窩裡反
jccy  十分鐘
jcjf  十分寮
jcji  真實感
jcjp  真實性
jckba 突然間
jcknp 突發性
jcksp 突破性
jckst 突尼斯
jcmb  真面目
jcmqz 空手道
jcms  真正的
jcmtg 空歡喜
jcmtt 空蕩蕩
jcmwy 空置率
jcnk  真不知
jcnyy 究竟是
jcok  真係冇
jcok  真係有
jcom  真係要
jcoo  真令人
jcoq  十八年
jcor  真係唔
jcov  真係好
jcow  十八個
jcrhy 容積率
jcrih 容祖兒
jcry  十八號
jcsd  真的想
jcsp  真確性
jcsr  十八區
jcsr  真的嗎
jcsy  真的是
jctb  十八萬
jctt  真善美
jcvl  十八鄉
jcz   十分之
jczi  十八歲
jddm  宋楚瑜
jdqsv 韓君婷
jdqwo 韓國人
jeoh  支氣管
jeqa  支持者
jeqk  支撐架
jeqm  支持下
jeqy  支持率
jerea 客流量
jeroj 客貨車
jerqo 客提供
jertp 客觀性
jerts 客觀的
jerty 客觀上
jfa   十五日
jfay  寫日記
jfcs  十五分
jfhe  寫香港
jfjd  寫字樓
jfjo  寫真集
jfmd  寫下來
jfmh  十五元
jfmh  寫一篇
jfmk  十五天
jfo   十五人
jfom  寫作班
jfop  十五億
jfoq  十五年
jfow  十五個
jfox  寫信給
jfry  十五號
jftb  十五萬
jfud  寫出來
jfuw  寫出了
jfxm  寫網頁
jfyy  寫文章
jfzi  十五歲
jhbew 竊盜罪
jhbsr 竊聽器
jhnbx 窮則變
jhse  穿耳洞
jhuw  穿山甲
jhwds 審查的
jhwjy 審裁處
jhwyw 審計署
jhyc  穿衣鏡
jibs  資助的
jibyn 輔育院
jibzj 輔導室
jibzm 輔導班
jibzo 輔導會
jibzr 輔導員
jibzx 輔導組
jicdy 戴相龍
jicgl 戴高帽
jicir 戴麟趾
jics  資金的
jicwc 戴眼鏡
jicxt 戴維斯
jidf  資本家
jidj  資本額
jidrk 栽跟頭
jifd  資料檔
jifi  資料庫
jifj  資料室
jifk  資料夾
jifo  資料館
jifp  資料性
jifs  資料的
jifx  資料網
jihg  轉移到
jijha 載重量
jijhe 載香港
jijja 載客量
jijjf 載資料
jijka 載有關
jijly 載中文
jijoa 載貨量
jijx  轉寄給
jiny  轉角處
jioi  轉化成
jioi  轉化為
jiol  轉會費
jiqbh 博彩稅
jiqho 博物館
jiqi  轉換成
jiqj  轉投資
jiqjc 博士說
jiqjq 博士生
jiqr  轉換器
jiqso 博覽會
jiqw  轉捩點
jiqy  轉播站
jivfj 裁判官
jivxh 裁縫師
jivxi 裁縫店
jiwa  轉眼間
jixi  轉變成
jixi  轉變為
jiyo  資產值
jiyx  資訊網
jiyy  資訊站
jizd  轉過來
jizy  轉運站
jjbj  十字軍
jjbn  車服務
jjbno 朝鮮人
jjci  車公廟
jjdv  十七樓
jjjv  車輛將
jjkd  十字架
jjkf  車頭燈
jjmh  十字形
jjnme 乾電池
jjntn 乾著急
jjnvh 乾女兒
jjnyd 乾衣機
jjoq  十七年
jjow  十七個
jjrme 轄下各
jjrr  十字路
jjry  十七號
jjtb  十七萬
jjtp  十字花
jjvv  車婉婉
jjzi  十七歲
jkdk  教材套
jkdv  十九樓
jkfss 寮屋區
jkhl  教科書
jkho  教師會
jkhs  教師的
jkhu  教與學
jkios 宏偉的
jkits 宏觀的
jkiu  教我們
jkjo  教資會
jkns  教務長
jkoq  十九年
jkou  教他們
jkow  十九個
jkrhy 寄物處
jkrj  教員室
jkroa 寄件者
jkry  十九號
jksbs 協助的
jkso  教聯會
jksqw 協奏曲
jksr  教職員
jksyl 協議書
jkszo 協進會
jktn  教養院
jkud  教學樓
jkuy  教學上
jkxo  教統會
jkxs  教統局
jkyb  教育部
jkyf  教育家
jkyo  教育會
jkyp  教育性
jkys  教育局
jkyu  教育學
jkyw  教育界
jkyw  教育署
jkyx  教育網
jkzi  十九歲
jlaap 暫時性
jlagk 暫未有
jlcs  事業的
jlcy  事業上
jliu  事我們
jljs  事宜的
jljy  事實上
jljy  事實是
jlna  事發時
jlnb  事務部
jlnh  事務所
jlnh  事務科
jlns  事務局
jlnv  事發後
jlny  事務處
jlor  都係咁
jlos  事件的
jlou  事他們
jma   十三日
jmaao 宣明會
jmajj 宣教士
jmaks 宣布的
jmakw 宣布了
jmaob 宣傳部
jmaol 宣傳片
jmaor 宣傳品
jmaor 宣傳單
jmaq  十一時
jmaq  十二時
jmbh  士丹利
jmcls 寶貴的
jmcs  十二分
jmcsu 寶馬山
jmcsw 寶翠園
jmdjy 宇宙論
jmdv  十一樓
jmfjo 宗案件
jmfjw 宗教界
jmfka 宗有關
jmfoj 宗個案
jmfu  十一卷
jmhg  十一種
jmio  十一次
jmjsy 軒尼詩
jmkq  士大夫
jmlpi 麵包店
jmmad 輕易地
jmmax 輕量級
jmmdd 輕機槍
jmmjd 輕輕地
jmmjm 輕輕一
jmmjs 輕輕的
jmmmc 輕工業
jmmmm 輕飄飄
jmmyv 輕音樂
jmnr  十一名
jmo   十三人
jmob  士使用
jmod  十一條
jmop  十三億
jmop  十二億
jmoq  十三年
jmoq  十二年
jmot  十二位
jmow  十一個
jmow  十三個
jmow  十二個
jmqo  士提供
jmry  十一號
jmry  十三號
jmry  十二號
jmsf  十二碼
jmsg  十一屆
jmtb  十一期
jmtb  十一萬
jmtb  十三萬
jmtb  十二萬
jmudp 完整性
jmuds 完整的
jmuis 完成的
jmuiv 完成後
jmuo  士學位
jmuon 完全不
jmuor 完全唔
jmuoy 完全是
jmuxh 完結篇
jmwy  十一點
jmwy  十三點
jmwy  十二點
jmyj  十一章
jmzi  十一歲
jmzi  十三歲
jmzi  十二歲
jnaq  十小時
jnho  字符集
jnosb 軟硬體
jnoso 軟硬件
joag  做得到
joav  做得好
job   十個月
jobds 輪機長
jobk  做朋友
jobm  做股票
jobob 輪候冊
jocj  做錯事
jocw  做父母
jocw  做錯了
jogj  做壞事
jogw  做到了
johs  做自己
joiff 麥當勞
joifv 麥當奴
joifv 麥當娜
joih  做禮拜
joijh 麥克風
jojjo 幹事會
jojoi 幹什麼
jojs  做實驗
jojti 幹甚麼
jojxb 幹細胞
joma  十傳百
jomh  十億元
jomi  做一次
jomo  做一件
jomo  做一個
jomy  做功課
jomz  做一些
joneh 輸油管
jonfh 輸精管
jong  做不到
jonhh 輸卵管
jonoe 輸入法
jonoh 輸氣管
jonos 輸入的
jonsh 輸尿管
jonuw 輸出國
jooi  做什麼
jooo  做任何
joop  做人情
joqa  做生日
joqb  做手腳
joqh  做手術
joqy  做生意
josj  做的事
joti  做甚麼
jotj  做善事
jotn  十年前
jovz  十年後
jowg  做買賣
joxm  做網頁
jozh  做運動
jozo  做這個
jpdh  它本身
jphs  它自己
jpnv  它可以
jpqo  它提供
jpug  它們都
jpumd 密西根
jpuos 密集區
jpus  它們的
jpusa 密碼匙
jputw 密蘇里
jqar  守門員
jqbv  守財奴
jqyi  守護神
jrbce 胡錦濤
jrbdc 胡桃鉗
jrbdf 胡椒粉
jrbtt 胡蘿蔔
jrbzz 胡適之
jrcn  古銅色
jrcns 額外的
jrdy  古柯鹼
jrgn  古埃及
jrkb  古希臘
jrkiu 故我們
jrkjl 故事書
jrkjs 故事的
jrks  古老的
jrmv  古天樂
jros  古代的
jrrnd 豁免權
jrst  古巨基
jrtx  古蘭經
jrudp 克林頓
jrvhw 喪失了
jsju  考古學
jsjw  考察團
jsjy  考完試
jsya  考試時
jsyg  考慮到
jsys  考試局
jsys  考試的
jsyw  考慮了
jtcjg 賽車場
jtcsa 賽馬日
jtcso 賽馬會
jtgmh 塞班島
jtgxe 塞納河
jtint 寬限期
jtmh  十萬元
jto   十萬人
jtow  十萬個
jubl  七月初
jubo  七月份
juhm  七千元
juht  七千萬
jujc  七七八
jujc  七十八
jujf  七十五
jujj  七十七
jujk  七十九
jujm  七七二
jujm  七十三
jujm  七十二
jujo  七十年
jujt  七十萬
jujw  七十四
jujy  七十六
jujz  七十歲
jukc  七九八
jumm  七二二
jumt  七百萬
jumw  七三四
juob  七個月
juom  七億元
juos  七年的
juot  七年前
jutm  七萬元
juwh  七里香
juyo  七六年
jvds  安東尼
jvha  安息日
jvhf  安徽省
jvhn  安德魯
jvkn  安老院
jvmo  安理會
jvmq  安哥拉
jvoi  安全感
jvok  安全套
jvok  安全帶
jvop  安全性
jvoq  十幾年
jvos  安全的
jvow  十幾個
jvox  安全網
jvqk  安排在
jvqm  安排下
jvvj  安樂窩
jvvm  安樂死
jvwt  安眠藥
jwcbp 實用性
jwcby 實用文
jwchp 實質性
jwchs 實質的
jwchy 實質上
jwciw 實現了
jwcky 實在是
jwcns 實際的
jwcny 實際上
jwcrl 實踐中
jwcsh 實驗所
jwcsj 實驗室
jwcsq 實習生
jwcsy 實驗站
jwcys 實施的
jwcyv 實施後
jwju  富士山
jwjz  富士通
jwlp  富中心
jwmk  十四天
jwop  十四億
jwoq  十四年
jwow  十四個
jwry  十四號
jwtb  十四萬
jwzi  十四歲
jyaa  較早時
jyat  較早前
jycs  十六分
jyfs  較少的
jygo  較去年
jygs  較高的
jyja  較容易
jyks  較大的
jyns  較小的
jyoj  較便宜
jyoq  十六年
jyos  較低的
jyow  十六個
jyphi 寵物店
jyrh  較嚴重
jyry  十六號
jytb  十六萬
jyto  較其他
jyyo  較上年
jyys  較新的
jyzi  十六歲
jyzo  較適合
jzjc  定南針
jzni  定名為
jzoq  十週年
jzpk  定心丸
kaac  大問題
kaam  大明星
kabi  大得多
kanm  大開發
kaop  大時代
kas   大量的
kbaa  有問題
kbaa  有時間
kbao  有時候
kbao  有時會
kbao  有關係
kbas  有關於
kbas  有關的
kbat  有顯著
kbay  有時是
kbaz  有關連
kbbc  有部分
kbbf  有多少
kbbk  有朋友
kbbo  有多個
kbbo  有部份
kbba  有把握
kbbs  有助於
kbbs  有用的
kbbt  有同樣
kbby  有爭議
kbco  有錢人
kbcr  有分別
kbcs  大部分
kbcs  有鑑於
kbdk  有權力
kbdo  有機會
kbds  有賴於
kbdt  有才華
kbdw  大股東
kbeh  有消息
kbeh  有潛質
kbek  有沒有
kbek  有活力
kbek  有潛力
kben  大鵬灣
kbep  有決心
kbff  有少少
kbfl  有少數
kbfo  有類似
kbgb  有幫助
kbgn  有起色
kbgr  有趣味
kbgs  有增長
kbgs  有志於
kbgs  有趣的
kbgz  有報導
kbha  有所得
kbhb  有很多
kbhe  有香港
kbhg  有興趣
kbhi  有所為
kbhi  有秩序
kbhk  有很大
kbhk  有毛病
kbhs  有利於
kbhs  有自己
kbhx  有系統
kbib  有禮貌
kbik  有能力
kbip  有感情
kbiy  有成就
kbjb  有較多
kbjd  有資格
kbjg  有較高
kbjk  有實力
kbjk  有較大
kbjo  有較佳
kbka  有力量
kbko  有冇人
kbky  有希望
kblv  大多數
kblw  有中國
kbmb  有一部
kbmb  有更多
kbmc  有一分
kbmd  有一本
kbmd  有理想
kbmf  有一半
kbmf  有一家
kbmf  有一類
kbmg  有一場
kbmh  有一段
kbmh  有一番
kbmh  有一種
kbmh  有一篇
kbmh  有兩種
kbmi  有一次
kbmi  有兩次
kbmj  有一定
kbmk  有一套
kbmk  有壓力
kbml  有理由
kbmm  有一天
kbmm  有一百
kbmm  有一項
kbmm  有下列
kbmm  有正面
kbmm  有需要
kbmn  有一名
kbmn  有兩名
kbmo  有一件
kbmo  有一位
kbmo  有一個
kbmo  有一年
kbmo  有一條
kbmo  有兩位
kbmo  有兩個
kbmo  有工作
kbmp  有一切
kbmp  有一句
kbmt  有一樣
kbmt  有一萬
kbmw  有一點
kbmw  有兩點
kbmy  有貢獻
kbmz  有一些
kbnb  有不同
kbnc  有不錯
kbnf  有不少
kbni  有不能
kbni  有可能
kbni  有限度
kbnm  有負面
kbno  有勇氣
kbnp  有彈性
kbns  有名的
kbns  有發展
kbob  有使用
kboc  有人說
kboh  大部份
kboh  有保留
kboi  有什麼
kbom  有條理
kbon  有保障
kboo  有任何
kboo  有個人
kboo  有價值
kboo  有條件
kboo  有無人
kbop  有信心
kbop  有愛心
kboq  有智慧
kbou  有他們
kbow  有人話
kboy  有創意
kbpa  有疑問
kbpm  有必要
kbpo  有情人
kbqj  有規定
kbqo  有提供
kbqo  有生命
kbqs  有毒的
kbrh  有嚴重
kbrn  有足夠
kbrs  有別於
kbs   大膽的
kbso  有的人
kbsr  大祭司
kbsy  有的是
kbtc  大辭典
kbti  有甚麼
kbtm  有若干
kbtn  有義務
kbto  有其他
kbtt  有著落
kbtz  有前途
kbua  有學問
kbuo  有出入
kbvb  有好多
kbvo  有幾個
kbwh  有點兒
kbwo  有點像
kbwq  大財團
kbwt  有困難
kbxs  有經驗
kbxx  有組織
kby   大多是
kbyb  有許多
kbyd  有效地
kbye  有辦法
kbyj  有意者
kbyl  有計劃
kbym  大體上
kbyp  有效性
kbyq  有證據
kbyr  有議員
kbys  有效的
kbys  有新的
kbyt  有意義
kbyt  有效期
kbyw  有意思
kbyy  有意識
kbyy  有效率
kbyy  有誠意
kbzaa 冇問題
kbzfg 冇料到
kbzm  有道理
kbzo  有些人
kbzo  有這個
kbzw  有遠見
kbzy  有些是
kcge  大公報
kcmt  賀爾蒙
kcrn  大分別
kcsr  大公司
kczl  賀歲片
kddb  大機構
kdeb  大欖涌
kdfr  大本營
kdha  殺風景
kdkb  大概有
kdlt  殺虫藥
kdlt  殺蟲藥
kdly  殺蟲劑
kdmv  大地震
kdnsa 剎那間
kdoa  大概會
kdok  殺人犯
kdok  殺傷力
kdow  殺人罪
kdty  殺草劑
kdy   大概是
keaj  大清早
kedv  大酒樓
keel  大洋洲
keen  大浪灣
keez  大匯演
kehb  大法師
keir  大酒店
kejr  大法官
keoc  大減價
kevs  友好的
kewc  大滿貫
keyj  友誼賽
kezt  大河道
kfgi  大家去
kfgl  大家都
kfig  大家庭
kfkb  大家有
kfmv  大家要
kfqw  灰指甲
kfs   大家的
kfsf  大五碼
kfvd  大家樂
kfvn  大家好
kfvv  灰姑娘
kgal  在最初
kgan  大熱門
kgat  在早前
kgav  在最後
kgbm  在同一
kgbn  在服務
kgcs  在公司
kgdd  在本地
kgdm  在地下
kgdw  大坑東
kgdy  在地上
kgei  在酒店
kgej  在決定
kgek  在沒有
kger  大埔滘
kgfd  在當地
kgfo  在家人
kggd  在未來
kggp  大埔墟
kggs  大趨勢
kghe  在香港
kghk  在所有
kghs  在自己
kghy  在船上
kgia  在現時
kgig  在現場
kgip  在我心
kgiu  在我們
kgiy  在台上
kgiy  在床上
kgja  在較早
kgjf  在資料
kgjl  在空中
kgjo  在室內
kgju  在教學
kgjy  在考慮
kgka  在有關
kglb  在中央
kglp  在中心
kglw  在中國
kgly  在中文
kgly  在北京
kgmf  在一家
kgmg  在一場
kgmg  在一起
kgmh  在一段
kgmh  在一種
kgmh  在一般
kgmi  在一次
kgmi  在元朗
kgmi  在政府
kgmj  在一定
kgmm  在一天
kgmm  在一面
kgmm  在一項
kgmm  在需要
kgmo  在一個
kgmo  在一年
kgmo  在一條
kgmo  在兩個
kgmo  在工作
kgmp  在一切
kgmy  在一旁
kgmz  在一些
kgns  在發展
kgoa  大都會
kgob  在使用
kgod  在內地
kgoi  在年底
kgoo  在任何
kgos  在內的
kgou  在他們
kgoy  在何處
kgpk  在心頭
kgpw  在世界
kgqo  在提供
kgrh  在哪兒
kgrl  在哪裡
kgry  在哪裏
kgry  在路上
kgsh  在那兒
kgsl  在那裡
kgso  在那個
kgsr  大埔區
kgss  在職的
kgtm  在前面
kgto  在其他
kguq  在學生
kgvm  在後面
kgwf  在野黨
kgxm  在網頁
kgxz  在經過
kgy   大都是
kgyl  大城市
kgyl  大都市
kgyr  在產品
kgyy  在桌上
kgyy  在設計
kgyy  在該處
kgyy  在這裏
kgyz  在旁邊
kgzg  在過去
kgzh  在進行
kgzl  在這裡
kgzo  在退休
kgzo  在這個
kgzt  大坑道
kgzt  大埔道
khbf  大自然
khbni 獅子座
khbno 獅子會
khbnu 獅子山
khby  獨腳戲
khde  大笪地
khdh  獨木舟
khfmt 狄更斯
khftk 狄斯奈
khftn 狄斯可
khhb  大律師
khho  獨行俠
khhp  獨特性
khhs  大行動
khhs  獨特的
khihk 瘋牛症
khjj  獨裁者
khks  獨有的
khnd  大兒子
khoh  獨個兒
khqn  獨生子
khqv  獨生女
khwy  獨眼龍
khyp  獨立性
khys  獨立的
khyw  獨立國
kian  大冷門
kibo  太多人
kibw  大熊貓
kidf  太極拳
kifg  大禮堂
kifw  太少了
kiggg 雄赳赳
kigxx 雄糾糾
kijg  太古城
kijh  太空船
kijo  太空人
kijo  太空館
kikw  太大了
kilp  大台北
kina  太陽日
kina  太魯閣
king  太陽報
kinh  太陽系
kini  太陽神
kini  太陽能
kinz  太子道
kipe  太平洋
kipu  太平山
kiur  太豐路
kivmd 狼牙棒
kivw  太好了
kizw  太遲了
kjcm  大富翁
kjds  帶來的
kjdw  帶來了
kjfg  大教堂
kjge  大字報
kjiu  帶我們
kjqo  大丈夫
kjr   大窩口
kjtj  帶菌者
kjwf  帶回家
kjxi  帶給我
kjyu  大事記
kkbby 希臘文
kkbeh 希沃特
kkbht 希特勒
kkbmp 希爾頓
kkbod 希伯來
kkbyi 希望能
kkbyo 希望您
kkbyy 希望你
kkde  大大地
kkjm  大力士
kkkhf 爽身粉
kkle  大頭蝦
kks   大大的
kku   大老山
klgh  布穀鳥
klie  大幅度
klmg  大中型
klms  布政司
klqd  布拉格
kltj  大中華
klty  布農族
kmblj 病患者
kmbn  大原則
kmcd  大工業
kmet  大西洋
kmgdw 狂想曲
kmgh  大球場
kmgu  大環境
kmhc  大面積
kmk   大哥大
kmkq  左右手
kmks  左右的
kmlp  大西北
kmmn  左下角
kmmo  左一個
kmmr  大哥哥
