Chinese_Street_Name	English_Street_Name	District_Code
民祥街	MAN CHEUNG STREET	C&amp;W
民康街	MAN HONG STREET	E
民裕街	MAN YUE STREET	KC
民新街	MANSION STREET	E
民照街	MAN CHIU STREET	C&amp;W
民德路	MAN TAK ROAD	YL
民輝街	MAN FAI STREET	C&amp;W
民樂街	MAN LOK STREET	KC
民豐徑	MAN FUNG PATH	KC
民寶街	MAN PO STREET	C&amp;W
民耀街	MAN YIU STREET	C&amp;W
永平街	WING PING STREET	E
永生街	WING SHANG STREET	N
永立街	WING LAP STREET	K&amp;T
永光街	WING KWONG STREET	Is
永吉街	WING KUT STREET	C&amp;W
永安台	WING ON TERRACE	Is
永安街	WING ON STREET	C&amp;W
永孝街	WING HAU STREET	K&amp;T
永利街	WING LEE STREET	C&amp;W
永利街	WING LEE STREET	Is
永和街	WING WO STREET	C&amp;W
永定道	WING TING ROAD	WTS
永建路	WING KIN ROAD	K&amp;T
永明街	WING MING STREET	SSP
永東街	WING TUNG STREET	Is
永俊街	WING TSUN STREET	Is
永星里	WING SING LANE	YTM
永泰道	WING TAI ROAD	E
永祥街	WING CHEUNG STREET	WC
永基路	WING KEI ROAD	K&amp;T
永康街	WING HONG STREET	SSP
永隆街	WING LUNG STREET	SSP
永隆街	WING LUNG STREET	Is
永創街	WING CHONG STREET	K&amp;T
永順街	WING SHUN STREET	TW-K&amp;T
永愛道	MISEREOR ROAD	SSP
永業街	WING YIP STREET	K&amp;T
永福街	WING FOOK STREET	KT
永寧街	WING NING STREET	WC
永德街	WING TAK STREET	TW
永德路	WING TAK ROAD	SSP
永賢街	WING YIN STREET	K&amp;T
永樂里	WING LOK LANE	WC
永樂街	WING LOK STREET	C&amp;W
永興街	WING HING STREET	WC
永豐西街	WING FUNG STREET WEST	WC
永豐街	WING FUNG STREET	WC
永耀街	WING YIU STREET	KC
汀太路	TING TAI ROAD	TP
汀角路	TING KOK ROAD	TP
汀逸路	TING YAT ROAD	TW
汀慶路	TING HING ROAD	TP
汀麗路	TING LAI ROAD	TP
玉石里	YUK SHEK LANE	SK
玉成街	YUK SHING STREET	KC
玉蘭徑	MAGNOLIA PATH	YL
玉蘭路	MAGNOLIA ROAD	SSP
甘芳街	KAM FONG STREET	YTM
甘雨街	KOM U STREET	C&amp;W
甘雨路	KAM YUE ROAD	YL
甘泉街	KOM TSUN STREET	SSP
甘道	COOMBE ROAD	C&amp;W-WC
甘肅街	KANSU STREET	YTM
甘澍路	KAM SHUE ROAD	SK
甘霖街	KAM LAM STREET	YTM
生物科技路	BIOTECHNOLOGY AVENUE	ST
田心街	TIN SAM STREET	ST
田石路	TIN SHEK ROAD	SK
田洲路	TIN CHAU ROAD	SK
田景路	TIN KING ROAD	TM
田廈路	TIN HA ROAD	YL
田灣山道	TIN WAN HILL ROAD	S
田灣徑	TIN WAN CLOSE	S
田灣海旁道	TIN WAN PRAYA ROAD	S
田灣街	TIN WAN STREET	S
由義里	YAU YEE LANE	C&amp;W
甲邊朗上里	KAP PIN LONG UPPER LANE	SK
甲邊朗下里	KAP PIN LONG LOWER LANE	SK
甲邊朗中里	KAP PIN LONG MIDDLE LANE	SK
白加力街	BAGRIE STREET	WC
白加士街	PARKES STREET	YTM
白加道	BARKER ROAD	C&amp;W
白布街	PAK PO STREET	YTM
白田街	PAK TIN STREET	SSP
白田壩街	PAK TIN PAR STREET	TW
白石窩新村路	PAK SHEK WO SAN TSUEN ROAD	SK
白石臺路	PAK SHEK TOI ROAD	SK
白沙山路	PAK SHA SHAN ROAD	YL
白沙道	PAK SHA ROAD	WC
白沙灣街	PAK SHA WAN STREET	SK
白建時道	PERKINS ROAD	WC
白筆山道	PAK PAT SHAN ROAD	S
白雲街	PAK WAN STREET	SSP
白楊徑	BIRCH PATH	YL
白楊徑	POPLAR DRIVE	N
白楊街	POPLAR STREET	YTM-SSP
白蘭軒道	BLENHEIM AVENUE	YTM
白鶴汀街	PAK HOK TING STREET	ST
石上路	SHEK SHEUNG ROAD	YL
石山街	ROCK HILL STREET	C&amp;W
石文徑	SHEK MAN PATH	K&amp;T
石水渠街	STONE NULLAH LANE	WC
石仔埗街	SHEK TSAI PO STREET	Is
石田路	SHEK TIN ROAD	YL
石安街	SHEK ON STREET	TW
石竹路	DIANTHUS ROAD	SSP
石角路	SHEK KOK ROAD	SK
石貝街	SHEK PUI STREET	K&amp;T
石宜路	SHEK YI ROAD	K&amp;T
石建街	SHEK KIN STREET	K&amp;T
石英徑	SHEK YING PATH	K&amp;T
石門甲道	SHEK MUN KAP ROAD	Is
石門交匯處	SHEK MUN INTERCHANGE	ST
石埗東路	SHEK PO EAST ROAD	YL
石埗路	SHEK PO ROAD	YL
石崗機場路	SHEK KONG AIRFIELD ROAD	YL
石排街	SHEK PAI STREET	K&amp;T
石排頭徑	SHEK PAI TAU PATH	TM
石排頭路	SHEK PAI TAU ROAD	TM
石排灣道	SHEK PAI WAN ROAD	S
石梨街	SHEK LI STREET	K&amp;T
石圍角路	SHEK WAI KOK ROAD	TW
石棧里	SHEK CHAN LANE	C&amp;W
石湖圍路	SHEK WU WAI ROAD	YL
石硤尾街	SHEK KIP MEI STREET	SSP
石貴街	SHEK KWAI STREET	TW
石塘街	SHEK TONG STREET	KC
石溪里	SHEK KAI LANE	WC
石蔭路	SHEK YAM ROAD	K&amp;T
石鼓街	SHEK KU STREET	KC
石鼓壟道	SHEK KU LUNG ROAD	KC
石寨下路	SHEK TSAI HA ROAD	N
石榴洞街	SHEK LAU TUNG STREET	ST
石蓮路	SHEK LIN ROAD	TP
石澳山仔路	SHEK O HEADLAND ROAD	S
石澳村路	SHEK O VILLAGE ROAD	S
石澳道	SHEK O ROAD	S
石壁水塘路	SHEK PIK RESERVOIR ROAD	Is
石壁道	CLIFF ROAD	YTM
石頭街	SHEK TAU STREET	K&amp;T
石龍街	SHEK LUNG STREET	YTM
禾上墩街	WO SHEUNG TUN STREET	ST
禾香街	WO HEUNG STREET	ST
禾徑山路	WO KENG SHAN ROAD	N
禾盛街	WO SHING STREET	ST
禾笛街	WO TIK STREET	TW
禾葵里	WO KWAI LANE	K&amp;T
禾塘咀街	WO TONG TSUI STREET	K&amp;T
禾輋街	WO CHE STREET	ST
禾寮坑路	WO LIU HANG ROAD	ST
禾穗街	WO SHUI STREET	ST
艾維奧大道	AVIO BOULEVARD	YL
北大嶼山公路	NORTH LANTAU HIGHWAY	Is-TW
北社七里	PAK SHE SEVENTH LANE	Is
北社二里	PAK SHE SECOND LANE	Is
北社三里	PAK SHE THIRD LANE	Is
北社五里	PAK SHE FIFTH LANE	Is
北社六里	PAK SHE SIXTH LANE	Is
北社四里	PAK SHE FOURTH LANE	Is
北社後街	PAK SHE BACK STREET	Is
北社海傍路	PAK SHE PRAYA ROAD	Is
北社壹里	PAK SHE FIRST LANE	Is
北社街	PAK SHE STREET	Is
北角邨里	NORTH POINT ESTATE LANE	E
北角咀路	PAK KOK TSUI ROAD	Is
北角道	NORTH POINT ROAD	E
北角臺	NORTH POINT TERRACE	E
北京道	PEKING ROAD	YTM
北河街	PEI HO STREET	SSP
北帝街	PAK TAI STREET	KC
北拱街	PAK KUNG STREET	KC
北海傍路	NORTH SEAFRONT ROAD	Is
北海街	PAK HOI STREET	YTM
北盛街	PAK SHING STREET	TP
北景街	NORTH VIEW STREET	E
北港㘭路	PAK KONG AU ROAD	SK
北港路	PAK KONG ROAD	SK
北街	NORTH STREET	C&amp;W
北潭路	PAK TAM ROAD	SK-TP
北環路	NORTH PERIMETER ROAD	Is
北環路	NORTH SERVICE ROAD	Is
立法會道	LEGISLATIVE COUNCIL ROAD	C&amp;W
立德里	LAP TAK LANE	WC
交加里	CROSS LANE	WC
交加街	CROSS STREET	WC
亦園路	YICK YUEN ROAD	TM-YL
伊沙里	EZRA'S LANE	C&amp;W
伊利沙伯醫院徑	QUEEN ELIZABETH HOSPITAL PATH	YTM
伊利沙伯醫院路	QUEEN ELIZABETH HOSPITAL ROAD	YTM
伊利近街	ELGIN STREET	C&amp;W
伊榮街	IRVING STREET	WC
兆和街	SHIU WO STREET	TW
兆祥坊	SIU CHEUNG FONG	C&amp;W
兆康路	SIU HONG ROAD	TM
兆業街	SIU YIP STREET	KT
兆興里	SIU HING LANE	TM
兆麟街	SIU LUN STREET	TM
光昌街	KWONG CHEUNG STREET	SSP
光明街	KWONG MING STREET	WC
光明臺	ILLUMINATION TERRACE	WC
光景臺	PROSPECT PLACE	C&amp;W
光漢臺	KWONG HON TERRACE	C&amp;W
光輝里	KWONG FAI LANE	K&amp;T
光輝圍	KWONG FAI CIRCUIT	K&amp;T
全安路	CHUEN ON ROAD	TP
冰廠路	PING CHONG ROAD	Is
合一道	HOP YAT ROAD	KC
合桃街	WALNUT STREET	YTM
合財街	HOP CHOI STREET	YL
合益路	HOP YICK ROAD	YL
合群街	HOP KWAN STREET	YTM
吉士笠街	GUTZLAFF STREET	C&amp;W
吉安街	KAT ON STREET	WC
吉利徑	GLEE PATH	SSP
吉席街	CATCHICK STREET	C&amp;W
吉祥街	KAT CHEUNG CRESCENT	N
吉勝街	KUT SHING STREET	E
吉圍徑	KAT WAI PATH	N
吉慶後街	KAT HING BACK STREET	Is
吉慶街	KAT HING STREET	Is
吉澳大街	KAT O MAIN STREET	N
同仁街	TUNG YAN STREET	KT
同文街	TUNG MAN STREET	C&amp;W
同秀坊	TUNG SAU SQUARE	TP
同和街	TUNG WO STREET	TW
同茂坊	TUNG MAU SQUARE	TP
同發坊	TUNG FAT SQUARE	TP
同福路	TUNG FUK ROAD	TM
同德里	TUNG TAK LANE	C&amp;W
同樂徑	THE GOVERNOR'S WALK	C&amp;W
同樂街	TUNG LOK STREET	YL
名成街	MING SHING STREET	SK
吐露港公路	TOLO HIGHWAY	ST-TP
因特拉肯大道	INTERLAKEN AVENUE	N
地士道街	THISTLE STREET	YTM
地利根德里	TREGUNTER PATH	C&amp;W
地錦路	VERBENA ROAD	SSP
圳邊街	CHUN PIN STREET	K&amp;T
多石徑	TO SHEK PATH	ST
多石街	TO SHEK STREET	ST
多福道	TO FUK ROAD	KC
多實街	DORSET CRESCENT	KC
好利街	HO LEE STREET	Is
好景台	HO KING TOI	Is
好景街	HO KING STREET	S
好景街	HO KING STREET	Is
孖沙街	MERCER STREET	C&amp;W
孖峰嶺路	MA FUNG LING ROAD	YL
孖庶街	MARSH STREET	KC
守仁徑	SAU YAN PATH	KT
安心街	ON SUM STREET	ST
安平街	ON PING STREET	ST
安民坊	ON MAN SQUARE	TP
安田街	ON TIN STREET	KT
安全街	ON CHUEN STREET	N
安邦路	ON PONG ROAD	TP
安秀道	ON SAU ROAD	KT
安足街	ON CHUK STREET	K&amp;T
安良里	ON LEUNG LANE	YL
安和里	ON WO LANE	C&amp;W
安定道	ON TING ROAD	WTS
安居街	ON KUI STREET	N
安明街	ON MING STREET	ST
安東街	ON TUNG STREET	Is
安育路	ON YUK ROAD	TW
安信徑	ON SHUN PATH	YL
安信街	ON SHUN STREET	YL
安茵街	ON YAN STREET	KT
安健道	ON KIN ROAD	SK-KT
安埔里	ON PO LANE	TP
安埔路	ON PO ROAD	TP
安島徑	ANGEL ISLAND AVENUE	YL
安泰街	ON TAI STREET	C&amp;W
安泰路	ON TAI ROAD	TP
安浩里	ON HO LANE	TP
安華街	ON WAH STREET	KT
安祥路	ON CHEUNG ROAD	TP
安域道	ALNWICK ROAD	KC
安庶庇街	ORMSBY STREET	WC
安康路	ON HONG ROAD	YL
安捷里	ON CHIT LANE	K&amp;T
安捷街	ON CHIT STREET	K&amp;T
安逸街	ON YAT STREET	TW
安善道	ON SHIN ROAD	KT
安富道	ON FU ROAD	TP
安愉徑	ON YU PATH	SK
安愉道	ON YU ROAD	SK-KT
安景街	ON KING STREET	ST
安運道	ON WAN ROAD	YTM
安達臣道	ANDERSON ROAD	SK-KT
安達坊	ON TAT SQUARE	YL
安慈路	ON CHEE ROAD	TP
安業街	ON YIP STREET	E
安睦里	ON MUK LANE	ST
安睦街	ON MUK STREET	ST
安群街	ON KWAN STREET	ST
安福街	ON FUK STREET	N
安榮街	ON WING STREET	TW
安翠街	ON CHUI STREET	KT
安寧里	ON NING LANE	C&amp;W
安寧徑	SERENITY PATH	SK
安德道	ON TAK ROAD	KT
安慶臺	ON HING TERRACE	C&amp;W
安賢街	ON YIN STREET	TW
安樂里	ON LOK LANE	WC
安樂門街	ON LOK MUN STREET	N
安禧街	ON HEI STREET	SK
安興里	ON HING LANE	ST
安靜道	ON CHING ROAD	KC
安徽街	ANHUI STREET	KC
安駿里	ON CHUN LANE	YL
安麗街	ON LAI STREET	ST
安耀街	ON YIU STREET	ST
安蘭街	ON LAN STREET	C&amp;W
巡撫街	TSUN FU STREET	N
帆船街	YACHT STREET	WC
延文禮士道	INVERNESS ROAD	KC
延坪道	YIN PING ROAD	SSP
成全路	SHING CHUEN ROAD	ST
成安里	SHING ON LANE	E
成安街	SHING ON STREET	E
成和坊	SING WOO CRESCENT	WC
成和道	SING WOO ROAD	WC
成運路	SHING WAN ROAD	ST
成業街	SHING YIP STREET	KT
成興街	SHING HING STREET	ST
成都道	CHENGTU ROAD	S
早禾路	TSO WO ROAD	SK
旭日街	YUK YAT STREET	KC
旭昇道	YUK SING ROAD	TW
旭龢道	KOTEWALL ROAD	C&amp;W
曲街	COOKE STREET	KC
有信街	YAU SHUN STREET	KT
有康街	YAU HONG STREET	KT
汕頭街	SWATOW STREET	WC
汝州西街	YU CHAU WEST STREET	SSP
汝州街	YU CHAU STREET	YTM-SSP
江大路	KONG TAI ROAD	YL
江西街	KIANG HSI STREET	KC
江埔路	KONG PO ROAD	YL
江蘇街	KIANG SU STREET	KC
池旁路	POND CRESCENT	ST
灰沙圍里	FUI SHA WAI LANE	YL
灰沙圍南路	FUI SHA WAI SOUTH ROAD	YL
灰窰角街	FUI YIU KOK STREET	TW
灰窰里	FUI YIU LANE	SK
百子里	PAK TSZ LANE	C&amp;W
百老匯街	BROADWAY	SSP
百花林路	PAK FA LAM ROAD	SK
百花路	PAK FA ROAD	YL
百利街	PAK LEE STREET	ST
百和路	PAK WO ROAD	N
百得街	PAK TAK STREET	ST
百勝角路	PAK SHING KOK ROAD	SK
百祿徑	BLUFF PATH	C&amp;W
百福道	PAK FUK ROAD	E
百德新街	PATERSON STREET	WC
百樂徑	PAK LOK PATH	ST
竹安里	CHUK ON LANE	C&amp;W
竹攸路	CHUK YAU ROAD	YL
竹角路	CHUK KOK ROAD	SK
竹洋路	CHUK YEUNG ROAD	SK-TP
竹桃徑	OLEANDER PATH	YL
竹連里	CHUK LIN LANE	C&amp;W
竹園道	CHUK YUEN ROAD	WTS
竹篙灣公路	PENNY'S BAY HIGHWAY	TW
竹興里	CHUK HING LANE	C&amp;W
米度適道	MIDDLESEX ROAD	YL
米埔南路	MAI PO SOUTH ROAD	YL
米埔路	MAI PO ROAD	YL
米埔隴路	MAI PO LUNG ROAD	YL
米萊諾大道	MILANO VIALE	YL
米路斯徑	MELROSE AVENUE	YL
米蘭徑	MICHELIA PATH	YL
自由道	LIBERTY AVENUE	KC
至善街	CHI SHIN STREET	SK
芝古臺	CHICO TERRACE	C&amp;W
芝麻坑路	CHI MA HANG ROAD	Is
芝麻灣道	CHI MA WAN ROAD	Is
西九龍公路	WEST KOWLOON HIGHWAY	YTM-SSP
西九龍走廊	WEST KOWLOON CORRIDOR	YTM-SSP
西九龍走廊西	WEST KOWLOON CORRIDOR WEST	YTM-SSP
西元里	SAI YUN LANE	E
西市街	SAI SEE STREET	C&amp;W
西安里	SAI ON LANE	C&amp;W
西安街	SAI ON STREET	S
西邨路	SAI CHUEN ROAD	SSP
西尾道	WEST END PATH	C&amp;W
西沙路	SAI SHA ROAD	SK-TP-ST
西谷道	SELKIRK ROAD	KC
西洋菜北街	SAI YEUNG CHOI STREET NORTH	YTM-SSP
西洋菜里	SAI YEUNG CHOI LANE	SSP
西洋菜南街	SAI YEUNG CHOI STREET SOUTH	YTM
西草灣路	SAI TSO WAN ROAD	K&amp;T
西消防街	WESTERN FIRE SERVICES STREET	C&amp;W
西華里	SAI WA LANE	C&amp;W
西貢大街	SAI KUNG TAI STREET	SK
西貢元洲街	SAI KUNG YUEN CHAU STREET	SK
西貢公路	HIRAM'S HIGHWAY	SK
西貢正街	SAI KUNG MAIN STREET	SK
西貢西灣路	SAI KUNG SAI WAN ROAD	SK
西貢海傍街	SAI KUNG HOI PONG STREET	SK
西貢海傍廣場	SAI KUNG HOI PONG SQUARE	SK
西貢鄉事會里	SAI KUNG RURAL COMMITTEE LANE	SK
西貢萬宜路	SAI KUNG MAN YEE ROAD	SK
西貢街	SAIGON STREET	YTM
西貢道	SAI KUNG ROAD	SK
西貢醫局街	SAI KUNG YEE KUK STREET	SK
西祥街	SAI CHEUNG STREET	C&amp;W
西祥街北	SAI CHEUNG STREET NORTH	C&amp;W
西區海底隧道	WESTERN HARBOUR CROSSING	YTM-C&amp;W
西康里	SAI HONG LANE	C&amp;W
西菁徑	SAI CHING PATH	YL
西菁街	SAI CHING STREET	YL
西堤	WEST EMBANKMENT	E
西堤街	SAI TAI STREET	YL
西湖里	SAI WOO LANE	C&amp;W
西街	SAI STREET	C&amp;W
西裕徑	SAI YU PATH	YL
西裕街	SAI YU STREET	YL
西源里	SAI YUEN LANE	C&amp;W
西溪路	SAI KAI ROAD	YL
西蒙徑	SAN SIMEON AVENUE	YL
西路	WESTERN ROAD	TM
西寧街	SAI NING STREET	C&amp;W
西摩道	SEYMOUR ROAD	C&amp;W
西摩臺	SEYMOUR TERRACE	C&amp;W
西碼頭道	WEST WHARF ROAD	Is
西樓角路	SAI LAU KOK ROAD	TW
西橫巷	SAI WANG LANE	SK
西興里	SAI HING LANE	C&amp;W
西邊街	WESTERN STREET	C&amp;W
西灣河街	SAI WAN HO STREET	E
西灣路	SAI WAN ROAD	Is
西灣臺	SAI WAN TERRACE	E
老沙路街	ROZARIO STREET	C&amp;W
老圍里	LO WAI LANE	TW
老圍路	LO WAI ROAD	TW
老龍坑街	LO LUNG HANG STREET	KC
年明路	NIN MING ROAD	TP
年春街	NIN CHUN STREET	SK
年華路	NIN WAH ROAD	TP
年豐路	NIN FUNG ROAD	TP
列拿士地臺	REDNAXELA TERRACE	C&amp;W
列堤頓道	LYTTELTON ROAD	C&amp;W
行政道	ADMINISTRATION ROAD	Is
行政路	ADMINISTRATION ROAD	YL
行善里	HANG SHIN LINK	ST
亨美街	HANG MEI STREET	K&amp;T
伯恩大道	BERN AVENUE	N
伯爵街	EARL STREET	KC
佐治里	GEORGE'S LANE	C&amp;W
佐敦谷北道	JORDAN VALLEY NORTH ROAD	KT
佐敦里	JORDAN PATH	YTM
佐敦道	JORDAN ROAD	YTM
何文田山道	HO MAN TIN HILL ROAD	KC-YTM
何文田街	HO MAN TIN STREET	KC
何東道	HO TUNG ROAD	KC
何郭里	HO KWOK LANE	C&amp;W
佛光街	FAT KWONG STREET	KC
佛光街天橋	FAT KWONG STREET FLYOVER	KC
佛洛斯大道	FIRENZE VIALE	YL
作壆坑路	TSOK POK HANG ROAD	ST
克街	HEARD STREET	WC
克頓道	HATTON ROAD	C&amp;W
吳松街	WOOSUNG STREET	YTM
吿士打道	GLOUCESTER ROAD	WC
呈祥道	CHING CHEUNG ROAD	SSP-K&amp;T
均益街	KWAN YICK STREET	C&amp;W
坑口永隆路	HANG HAU WING LUNG ROAD	SK
坑口道	HANG HAU ROAD	SK
坑坪街	HANG PING STREET	K&amp;T
坑溪里	HANG KAI LANE	TP
坑頭路	HANG TAU ROAD	N
孝民街	HAU MAN STREET	KC
宋皇臺道	SUNG WONG TOI ROAD	KC
完善路	YUEN SHIN ROAD	TP
宏光道	WANG KWONG ROAD	KT
宏安道	WANG ON ROAD	E
宏貝道	WANG PUI ROAD	Is
宏利街	WANG LEE STREET	YL
宏茂街	WANG MAU STREET	KT
宏冠道	WANG KWUN ROAD	KT
宏展街	WANG CHIN STREET	KT
宏泰道	WANG TAI ROAD	KT
宏華街	WANG WA STREET	E
宏通街	WANG TUNG STREET	KT
宏基街	WANG KEE STREET	KT
宏富街	WANG FU STREET	YL
宏發徑	WANG FAT PATH	YL
宏達路	WANG TAT ROAD	YL
宏開道	WANG HOI ROAD	KT
宏業西街	WANG YIP STREET WEST	YL
宏業東街	WANG YIP STREET EAST	YL
宏業南街	WANG YIP STREET SOUTH	YL
宏照道	WANG CHIU ROAD	KT
宏遠街	WANG YUEN STREET	KT
宏德街	WANG TAK STREET	WC
宏樂街	WANG LOK STREET	YL
宏豐臺	WANG FUNG TERRACE	WC
尾逢路	MEI FUNG ROAD	YL
希雲街	HAVEN STREET	WC
希慎道	HYSAN AVENUE	WC
庇利金街	PILKEM STREET	YTM
庇利街	BAILEY STREET	KC
忌利文道	CRAIGMIN ROAD	C&amp;W
志士達道	CHESTER ROAD	KC
志仁一里	CHI YAN FIRST LANE	Is
志仁里	CHI YAN LANE	Is
志仁街	CHI YAN STREET	Is
志成里	CHI SHING LANE	WC
志和街	CHI WO STREET	YTM
志昂路	CHI NGONG ROAD	K&amp;T
志盛路	CHI SHING ROAD	SK
志蓮道	CHI LIN DRIVE	WTS
志輝徑	CHI FAI PATH	SK
快富街	FIFE STREET	YTM
快景路	FAI KING ROAD	N
批發巿場街	WHOLESALE MARKET STREET	SSP
攸田西路	YAU TIN WEST ROAD	YL
攸田東路	YAU TIN EAST ROAD	YL
攸壆路	YAU POK ROAD	YL
杉樹街	PINE STREET	YTM
杏林街	HENG LAM STREET	WTS
村南道	TSUEN NAM ROAD	ST
杜老誌道	TONNOCHY ROAD	WC
杜雲里	TO WAN LANE	E
沃泰街	YUK TAI STREET	ST
沐元街	MUK YUEN STREET	KC
沐安街	MUK ON STREET	KC
沐虹街	MUK HUNG STREET	KC
沐泰街	MUK TAI STREET	KC
沐朗街	MUK LONG STREET	KC
沐翠街	MUK CHUI STREET	KC
沐寧街	MUK NING STREET	KC
沐縉街	MUK CHUN STREET	KC
沐禮街	MUK LAI STREET	KC
沙下徑	SHA HA PATH	SK
沙下路	SHA HA ROAD	SK
沙井路	SHA TSENG ROAD	YL
沙田正街	SHA TIN CENTRE STREET	ST
沙田㘭道	SHATIN PASS ROAD	WTS
沙田車站圍	SHA TIN STATION CIRCUIT	ST
沙田鄉事會路	SHA TIN RURAL COMMITTEE ROAD	ST
沙田圍路	SHA TIN WAI ROAD	ST
沙田路	SHA TIN ROAD	ST
沙田頭路	SHA TIN TAU ROAD	ST
沙田嶺路	SHA TIN HEIGHTS ROAD	ST
沙安街	SHA ON STREET	ST
沙角尾村一巷	SHA KOK MEI FIRST LANE	SK
沙角尾村七巷	SHA KOK MEI SEVENTH LANE	SK
沙角尾村九巷	SHA KOK MEI NINTH LANE	SK
沙角尾村二巷	SHA KOK MEI SECOND LANE	SK
沙角尾村八巷	SHA KOK MEI EIGHTH LANE	SK
沙角尾村十一巷	SHA KOK MEI ELEVENTH LANE	SK
沙角尾村十二巷	SHA KOK MEI TWELFTH LANE	SK
沙角尾村十巷	SHA KOK MEI TENTH LANE	SK
沙角尾村三巷	SHA KOK MEI THIRD LANE	SK
沙角尾村五巷	SHA KOK MEI FIFTH LANE	SK
沙角尾村六巷	SHA KOK MEI SIXTH LANE	SK
沙角尾村四巷	SHA KOK MEI FOURTH LANE	SK
沙角尾路	SHA KOK MEI ROAD	SK
沙角街	SHA KOK STREET	ST
沙咀街	SHA TSUI PATH	SK
沙河路	SHA HO ROAD	N
沙宣道	SASSOON ROAD	S
沙洲里路	SHA CHAU LEI ROAD	YL
沙埔村路	SHA PO TSUEN ROAD	YL
沙浦道	SA PO ROAD	KC-WTS
沙福道	SUFFOLK ROAD	KC
沙嘴道	SHA TSUI ROAD	TW
沙頭角公路 － 石涌凹段	SHA TAU KOK ROAD - SHEK CHUNG AU	N
沙頭角公路 － 禾坑段	SHA TAU KOK ROAD - WO HANG	N
沙頭角公路 － 馬尾下段	SHA TAU KOK ROAD - MA MEI HA	N
沙頭角公路 － 龍躍頭段	SHA TAU KOK ROAD - LUNG YEUK TAU	N
沙螺灣村第一街	SHA LO WAN TSUEN 1ST LANE	Is
沙螺灣村第二街	SHA LO WAN TSUEN 2ND LANE	Is
沙螺灣村第三街	SHA LO WAN TSUEN 3RD LANE	Is
沙螺灣村第五街	SHA LO WAN TSUEN 5TH LANE	Is
沙螺灣村第四街	SHA LO WAN TSUEN 4TH LANE	Is
沙嶺道	SHA LING ROAD	N
沙瀝公路	SHA LEK HIGHWAY	ST
沙欄路	SHA LAN ROAD	TP
沙灣徑	SHA WAN DRIVE	S
沛榮里	PUI WING LANE	TM
牡丹徑	PEONY PATH	YL
牡丹街	MAU TAN STREET	YL
牡丹路	PEONY ROAD	SSP
社山路	SHE SHAN ROAD	TP
秀竹園道	SAU CHUK YUEN ROAD	KC
秀明道	SAU MING ROAD	KT
秀茂坪道	SAU MAU PING ROAD	KT
秀華坊	SAU WA FONG	WC
秀雅道	SAU NGA ROAD	KT
秀豐街	SAU FUNG STREET	KT
芙蓉山路	FU YUNG SHAN ROAD	TW
芙蓉徑	LILY PATH	YL
芙蓉街	FU YUNG STREET	TW
芬尼街	FINNIE STREET	E
芬梨徑	FINDLAY PATH	C&amp;W
芬梨道	FINDLAY ROAD	C&amp;W
芭丹娜徑	PASADENA AVENUE	YL
花屏路	FA PENG ROAD	Is
花圃街	FA PO STREET	SSP
花園徑	MONTEREY DRIVE	YL
花園街	FA YUEN STREET	YTM
花園道	GARDEN ROAD	C&amp;W
花墟徑	FLOWER MARKET PATH	YTM
花墟道	FLOWER MARKET ROAD	YTM
芳華里	FONG WAH LANE	WTS
芳園路	FONG YUEN ROAD	TW
角祥街	KOK CHEUNG STREET	YTM
谷亭街	KUK TING STREET	YL
谷柏道	COOPER ROAD	WC
貝沙山徑	BEL-AIR PEAK RISE	S
貝沙山道	BEL-AIR PEAK AVENUE	S
貝沙徑	BEL-AIR RISE	S
貝沙灣道	BEL-AIR AVENUE	S
貝翠大道	PETRUS AVENUE	YL
貝璐道	PEEL RISE	C&amp;W-S
赤柱大街	STANLEY MAIN STREET	S
赤柱市場道	STANLEY MARKET ROAD	S
赤柱村道	STANLEY VILLAGE ROAD	S
赤柱峽道	STANLEY GAP ROAD	S
赤柱連合道	STANLEY LINK ROAD	S
赤柱崗道	STANLEY MOUND ROAD	S
赤柱新街	STANLEY NEW STREET	S
赤柱灘道	STANLEY BEACH ROAD	S
赤鱲角南路	CHEK LAP KOK SOUTH ROAD	Is
赤鱲角路	CHEK LAP KOK ROAD	Is
迎東路	YING TUNG ROAD	Is
迎海路	WATERFRONT AVENUE	ST
迎康街	YING HONG STREET	Is
迎運里	YING WAN LANE	ST
迎樂路	PARK PROMENADE	Is-TW
迎禧路	YING HEI ROAD	Is
阿公岩村里	A KUNG NGAM VILLAGE LANE	E
阿公岩村道	A KUNG NGAM VILLAGE ROAD	E
阿公岩道	A KUNG NGAM ROAD	E
車公廟路	CHE KUNG MIU ROAD	ST
車坪街	CHE PING STREET	N
車站路	STATION ROAD	ST
良才里	LEUNG CHOI LANE	TM
良信街	LEUNG SHUN STREET	TM
良泰里	LEUNG TAI LANE	TM
良康里	LEUNG HONG LANE	TM
良運街	LEUNG WAN STREET	TM
良業街	LEUNG YIP STREET	YL
良德街	LEUNG TAK STREET	TM
利工街	LEE KUNG STREET	KC
利民道	LEE MAN ROAD	S
利安里	LEE ON LANE	KT
利安道	LEE ON ROAD	KT
利東邨道	LEI TUNG ESTATE ROAD	S
利東街	LEE TUNG STREET	WC
利枝道	LEE CHI ROAD	S
利牧徑	CLAYMORE AVENUE	S
利南道	LEE NAM ROAD	S
利益街	LEE YICK STREET	YL
利得街	LI TAK STREET	YTM
利眾街	LEE CHUNG STREET	E
