ch,rank,jyutpi,tone
儀,1286,ji4,4
旅,1287,leoi5,5
尾,1288,mei5,5
伙,1289,fo2,2
蕩,1290,dong6,6
冰,1291,bing1,1
貢,1292,gung3,3
登,1293,dang1,1
黎,1294,lai4,4
鑽,1295,zyun3,3
秘,1296,bei3,3
逃,1297,tou4,4
障,1298,zoeng3,3
氨,1299,on1,1
湯,1300,tong1,1
郭,1301,gwok3,3
亡,1302,mong4,4
峰,1303,fung1,1
幣,1304,bai6,6
港,1305,gong2,2
伏,1306,fuk6,6
夢,1307,mung6,6
畝,1308,mau5,5
軌,1309,gwai2,2
畢,1310,bat1,1
擦,1311,caat3,3
莫,1312,mok6,6
刺,1313,ci3,3
浪,1314,long6,6
援,1315,wun4,4
株,1316,zyu1,1
健,1317,gin6,6
售,1318,sau6,6
股,1319,gu2,2
采,1320,coi2,2
島,1321,dou2,2
泡,1322,paau3,3
甘,1323,gam1,1
睡,1324,seoi6,6
鑄,1325,zyu3,3
休,1326,jau1,1
閥,1327,fat6,6
牧,1328,muk6,6
繞,1329,jiu2,2
哲,1330,zit3,3
炸,1331,zaa3,3
磷,1332,leon4,4
朋,1333,pang4,4
績,1334,zik1,1
淡,1335,taam5,5
啟,1336,kai2,2
尖,1337,zim1,1
陷,1338,ham6,6
柴,1339,caai4,4
呈,1340,cing4,4
徒,1341,tou4,4
顏,1342,ngaan4,4
淚,1343,leoi6,6
稍,1344,saau2,2
忘,1345,mong4,4
扎,1346,zaat3,3
泵,1347,bam1,1
藍,1348,laam4,4
拖,1349,to1,1
洞,1350,dung6,6
弄,1351,nung6,6
授,1352,sau6,6
鏡,1353,geng3,3
埔,1354,bou3,3
壯,1355,zong3,3
辛,1356,san1,1
鋒,1357,fung1,1
虛,1358,heoi1,1
貧,1359,pan4,4
佛,1360,fat6,6
彎,1361,waan1,1
摩,1362,mo1,1
泰,1363,taai3,3
匯,1364,wui6,6
幼,1365,jau3,3
尊,1366,zyun1,1
廷,1367,ting4,4
窗,1368,coeng1,1
綱,1369,gong1,1
氏,1370,si6,6
隸,1371,dai6,6
疑,1372,ji4,4
宮,1373,gung1,1
姐,1374,ze2,2
震,1375,zan3,3
瑞,1376,seoi6,6
怪,1377,gwaai3,3
尤,1378,jau4,4
夾,1379,gaap3,3
循,1380,ceon4,4
琴,1381,kam4,4
描,1382,miu4,4
膜,1383,mok6,6
違,1384,wai4,4
珠,1385,zyu1,1
緣,1386,jyun4,4
腰,1387,jiu1,1
枝,1388,zi1,1
森,1389,sam1,1
窮,1390,kung4,4
竹,1391,zuk1,1
溝,1392,kau1,1
催,1393,ceoi1,1
憶,1394,jik1,1
繩,1395,sing4,4
邦,1396,bong1,1
剩,1397,zing6,6
欄,1398,laan4,4
漿,1399,zoeng1,1
擁,1400,jung2,2
牙,1401,ngaa4,4
貯,1402,cyu5,5
禮,1403,lai5,5
濾,1404,leoi6,6
鈉,1405,naap6,6
紋,1406,man4,4
咱,1407,zaa1,1
拍,1408,paak3,3
罷,1409,baa6,6
幸,1410,hang6,6
喊,1411,haam3,3
袖,1412,zau6,6
埃,1413,aai1,1
勤,1414,kan4,4
焦,1415,ziu1,1
罰,1416,fat6,6
伍,1417,ng5,5
潛,1418,cim4,4
墨,1419,mak6,6
縫,1420,fung4,4
姓,1421,sing3,3
刊,1422,hon1,1
畜,1423,cuk1,1
飽,1424,baau2,2
獎,1425,zoeng2,2
鋁,1426,leoi5,5
余,1427,jyu4,4
鬼,1428,gwai2,2
麗,1429,lai6,6
挖,1430,waat3,3
跨,1431,kwaa1,1
默,1432,mak6,6
鏈,1433,lin2,2
仿,1434,fong2,2
掃,1435,sou3,3
喝,1436,hot3,3
袋,1437,doi6,6
殼,1438,hok3,3
炭,1439,taan3,3
幕,1440,mok6,6
諸,1441,zyu1,1
弧,1442,wu4,4
污,1443,wu1,1
勵,1444,lai6,6
梅,1445,mui4,4
奶,1446,naai5,5
潔,1447,git3,3
災,1448,zoi1,1
舟,1449,zau1,1
鑒,1450,gaam3,3
苯,1451,bun2,2
訟,1452,zung6,6
抱,1453,pou5,5
毀,1454,wai2,2
懂,1455,dung2,2
寒,1456,hon4,4
智,1457,zi3,3
寄,1458,gei3,3
屆,1459,gaai3,3
躍,1460,joek3,3
挑,1461,tiu1,1
渡,1462,dou6,6
丹,1463,daan1,1
艱,1464,gaan1,1
貝,1465,bui3,3
拔,1466,bat6,6
爹,1467,de1,1
戴,1468,daai3,3
碼,1469,maa5,5
芽,1470,ngaa4,4
碰,1471,pung3,3
赤,1472,cek3,3
漁,1473,jyu4,4
哭,1474,huk1,1
鉛,1475,jyun4,4
敬,1476,ging3,3
顆,1477,fo2,2
奔,1478,ban1,1
欲,1479,juk6,6
仲,1480,zung6,6
柯,1481,o1,1
稀,1482,hei1,1
虎,1483,fu2,2
妹,1484,mui6,6
乏,1485,fat6,6
珍,1486,zan1,1
桌,1487,coek3,3
申,1488,san1,1
遵,1489,zeon1,1
允,1490,wan5,5
螺,1491,lo4,4
隆,1492,lung4,4
倉,1493,cong1,1
魏,1494,ngai6,6
曉,1495,hiu2,2
銳,1496,jeoi6,6
征,1497,zing1,1
兼,1498,gim1,1
氮,1499,daam6,6
隱,1500,jan2,2
牆,1501,coeng4,4
礙,1502,ngoi6,6
赫,1503,hak1,1
忠,1504,zung1,1
撥,1505,but6,6
准,1506,zeon2,2
肅,1507,suk1,1
缸,1508,gong1,1
搶,1509,coeng2,2
牽,1510,hin1,1
博,1511,bok3,3
巧,1512,haau2,2
兄,1513,hing1,1
杜,1514,dou6,6
訊,1515,seon3,3
誠,1516,sing4,4
碧,1517,bik1,1
祥,1518,coeng4,4
頁,1519,jip6,6
巡,1520,ceon4,4
矩,1521,geoi2,2
尋,1522,cam4,4
悲,1523,bei1,1
灌,1524,gun3,3
齡,1525,ling4,4
倫,1526,leon4,4
票,1527,piu3,3
桂,1528,gwai3,3
聖,1529,sing3,3
恰,1530,hap1,1
恐,1531,hung2,2
鄭,1532,zeng6,6
趣,1533,ceoi3,3
抬,1534,toi4,4
荒,1535,fong1,1
貼,1536,tip3,3
騰,1537,tang4,4
柔,1538,jau4,4
滴,1539,dik6,6
呵,1540,ho1,1
猛,1541,maang5,5
輛,1542,loeng6,6
闊,1543,fut3,3
勁,1544,ging6,6
妻,1545,cai1,1
填,1546,tin4,4
撤,1547,cit3,3
儲,1548,cyu5,5
舍,1549,se3,3
淺,1550,cin2,2
鬧,1551,naau6,6
擾,1552,jiu2,2
紫,1553,zi2,2
讚,1554,zaan3,3
砂,1555,saa1,1
戲,1556,hei3,3
遞,1557,dai6,6
吊,1558,diu3,3
陶,1559,tou4,4
伐,1560,fat6,6
療,1561,liu4,4
瓶,1562,ping4,4
婆,1563,po4,4
臂,1564,bei3,3
撫,1565,fu2,2
摸,1566,mo2,2
忍,1567,jan2,2
蝦,1568,haa1,1
胸,1569,hung1,1
鄰,1570,leon4,4
偶,1571,ngau5,5
擠,1572,zai1,1
棄,1573,hei3,3
鞏,1574,gung2,2
鋪,1575,pou1,1
乳,1576,jyu5,5
槽,1577,cou4,4
鬆,1578,sung1,1
仁,1579,jan4,4
吉,1580,gat1,1
鄧,1581,dang6,6
熔,1582,jung4,4
爛,1583,laan6,6
磚,1584,zyun1,1
租,1585,zou1,1
簽,1586,cim1,1
烏,1587,wu1,1
艦,1588,laam6,6
伴,1589,bun6,6
瓜,1590,gwaa1,1
丙,1591,bing2,2
暫,1592,zaam6,6
燥,1593,cou3,3
譜,1594,pou2,2
橡,1595,zoeng6,6
暖,1596,nyun5,5
柳,1597,lau5,5
牌,1598,paai4,4
秧,1599,joeng1,1
縴,1600,hin1,1
迷,1601,mai4,4
膽,1602,daam2,2
詳,1603,coeng4,4
簧,1604,wong4,4
踏,1605,daap6,6
呆,1606,ngoi4,4
瓷,1607,ci4,4
賓,1608,ban1,1
洛,1609,lok6,6
糊,1610,wu4,4
憤,1611,fan5,5
競,1612,ging6,6
隙,1613,gwik1,1
怒,1614,nou6,6
粘,1615,nim1,1
乃,1616,naai5,5
緒,1617,seoi5,5
肩,1618,gin1,1
籍,1619,zik6,6
輝,1620,fai1,1
敏,1621,man5,5
熙,1622,hei1,1
皆,1623,gaai1,1
桿,1624,gon1,1
偵,1625,zing1,1
懸,1626,jyun4,4
掘,1627,gwat6,6
享,1628,hoeng2,2
糾,1629,gau2,2
醒,1630,sing2,2
狂,1631,kong4,4
鎖,1632,so2,2
恨,1633,han6,6
牲,1634,sang1,1
霸,1635,baa3,3
誌,1636,zi3,3
爬,1637,paa4,4
賞,1638,soeng2,2
玩,1639,waan2,2
逆,1640,jik6,6
陵,1641,ling4,4
祝,1642,zuk1,1
浙,1643,zit3,3
秒,1644,miu5,5
貌,1645,maau6,6
役,1646,jik6,6
彼,1647,bei2,2
悉,1648,sik1,1
冒,1649,mou6,6
鴨,1650,ngaap3,3
蠟,1651,laap6,6
趨,1652,ceoi1,1
塗,1653,tou4,4
鳳,1654,fung6,6
晨,1655,san4,4
輩,1656,bui3,3
秩,1657,dit6,6
卵,1658,leon2,2
署,1659,cyu5,5
梯,1660,tai1,1
炎,1661,jim4,4
灘,1662,taan1,1
篩,1663,sai1,1
驅,1664,keoi1,1
峽,1665,haap6,6
啥,1666,saa1,1
壽,1667,sau6,6
譯,1668,jik6,6
浸,1669,zam3,3
泉,1670,cyun4,4
帽,1671,mou6,6
硅,1672,gwai1,1
遲,1673,ci4,4
疆,1674,goeng1,1
棋,1675,kei4,4
貸,1676,taai3,3
漏,1677,lau6,6
冠,1678,gun1,1
嫩,1679,nyun6,6
稿,1680,gou2,2
脅,1681,hip3,3
芯,1682,sam1,1
牢,1683,lou4,4
叛,1684,bun6,6
蝕,1685,sik6,6
奧,1686,ou3,3
鳴,1687,ming4,4
嶺,1688,leng5,5
羊,1689,joeng4,4
憑,1690,pang4,4
串,1691,cyun3,3
塘,1692,tong4,4
繪,1693,kui2,2
融,1694,jung4,4
酵,1695,gaau3,3
盆,1696,pun4,4
錫,1697,sek3,3
廟,1698,miu6,6
凍,1699,dung3,3
攝,1700,sip3,3
籌,1701,cau4,4
輔,1702,fu6,6
襲,1703,zaap6,6
拒,1704,keoi5,5
筋,1705,gan1,1
僚,1706,liu4,4
旱,1707,hon5,5
鉀,1708,gaap3,3
漆,1709,cat1,1
鳥,1710,niu5,5
眉,1711,mei4,4
添,1712,tim1,1
疏,1713,so1,1
棒,1714,paang5,5
穗,1715,seoi6,6
埋,1716,maai4,4
硝,1717,siu1,1
韓,1718,hon4,4
僑,1719,kiu4,4
扭,1720,nau2,2
逼,1721,bik1,1
挺,1722,ting5,5
涼,1723,loeng4,4
栽,1724,zoi1,1
碗,1725,wun2,2
炒,1726,caau2,2
杯,1727,bui1,1
勸,1728,hyun3,3
患,1729,waan6,6
贊,1730,zaan3,3
餾,1731,lau4,4
豪,1732,hou4,4
遼,1733,liu4,4
勃,1734,but6,6
鴻,1735,hung4,4
吏,1736,lei6,6
旦,1737,daan3,3
拜,1738,baai1,1
狗,1739,gau2,2
輥,1740,gwan2,2
掩,1741,jim2,2
飲,1742,jam2,2
搬,1743,bun1,1
罵,1744,maa6,6
勾,1745,ngau1,1
辭,1746,ci4,4
扣,1747,kau3,3
丈,1748,zoeng6,6
估,1749,gu2,2
絨,1750,jung4,4
蔣,1751,zoeng2,2
霧,1752,mou6,6
麵,1753,min6,6
姆,1754,mou5,5
擬,1755,ji5,5
朵,1756,do2,2
宇,1757,jyu5,5
輯,1758,cap1,1
陝,1759,sim2,2
番,1760,faan1,1
雕,1761,diu1,1
償,1762,soeng4,4
蓄,1763,cuk1,1
剪,1764,zin2,2
崇,1765,sung4,4
倡,1766,coeng1,1
咬,1767,ngaau5,5
廳,1768,teng1,1
薯,1769,syu4,4
駛,1770,sai2,2
刷,1771,caat3,3
斥,1772,cik1,1
賦,1773,fu3,3
奉,1774,fung6,6
扇,1775,sin3,3
曼,1776,maan6,6
沈,1777,sam2,2
漫,1778,maan6,6
澆,1779,giu1,1
鈣,1780,koi3,3
桃,1781,tou4,4
仔,1782,zai2,2
扶,1783,fu4,4
俗,1784,zuk6,6
返,1785,faan2,2
虧,1786,kwai1,1
腔,1787,hong1,1
鞋,1788,haai4,4
叔,1789,suk1,1
悄,1790,ciu2,2
撞,1791,zong6,6
框,1792,kwang1,1
覆,1793,fuk1,1
週,1794,zau1,1
騙,1795,pin3,3
勘,1796,ham1,1
旺,1797,wong6,6
沸,1798,fai3,3
孤,1799,gu1,1
黏,1800,nim1,1
吐,1801,tou3,3
孟,1802,maang6,6
屈,1803,wat1,1
渠,1804,keoi4,4
仰,1805,joeng5,5
妙,1806,miu6,6
惜,1807,sik1,1
疾,1808,zat6,6
辟,1809,pik1,1
狠,1810,han2,2
脹,1811,zoeng3,3
諧,1812,haai4,4
拋,1813,paau1,1
喂,1814,wai3,3
霉,1815,mui4,4
桑,1816,song1,1
哩,1817,lei1,1
衰,1818,seoi1,1
嘛,1819,maa3,3
崗,1820,gong1,1
棱,1821,ling4,4
滲,1822,sam3,3
盜,1823,dou6,6
髒,1824,zong1,1
賴,1825,laai6,6
甜,1826,tim4,4
曹,1827,cou4,4
閱,1828,jyut6,6
厲,1829,lai6,6
肌,1830,gei1,1
烴,1831,ting1,1
巷,1832,hong6,6
毅,1833,ngai6,6
緯,1834,wai5,5
昨,1835,zok6,6
偽,1836,ngai6,6
煮,1837,zyu2,2
症,1838,zing3,3
搭,1839,daap3,3
釘,1840,deng1,1
莖,1841,ging3,3
籠,1842,lung4,4
嘆,1843,taan3,3
綸,1844,gwaan1,1
酷,1845,huk6,6
鬍,1846,wu4,4
偷,1847,tau1,1
弓,1848,gung1,1
錐,1849,zeoi1,1
恒,1850,hang4,4
遊,1851,jau4,4
坑,1852,haang1,1
鼻,1853,bei6,6
敘,1854,zeoi6,6
獄,1855,juk6,6
翼,1856,jik6,6
絡,1857,lok3,3
逮,1858,dai6,6
湧,1859,jung2,2
罐,1860,gun3,3
抑,1861,jik1,1
棚,1862,paang4,4
膨,1863,paang4,4
寺,1864,zi6,6
砌,1865,cai3,3
蔬,1866,so1,1
驟,1867,zaau6,6
穆,1868,muk6,6
冶,1869,je5,5
枯,1870,fu1,1
凸,1871,dat6,6
紳,1872,san1,1
坯,1873,pui1,1
焰,1874,jim6,6
犧,1875,hei1,1
冊,1876,caak3,3
轟,1877,gwang1,1
緻,1878,zi3,3
晉,1879,zeon3,3
瘦,1880,sau3,3
喪,1881,song3,3
壟,1882,lung5,5
錠,1883,ding3,3
錦,1884,gam2,2
旬,1885,ceon4,4
鍛,1886,dyun3,3
邀,1887,jiu1,1
欣,1888,jan1,1
亭,1889,ting4,4
酯,1890,zi2,2
舒,1891,syu1,1
邁,1892,maai6,6
憂,1893,jau1,1
脆,1894,ceoi3,3
閒,1895,haan4,4
撲,1896,pok3,3
漲,1897,zoeng3,3
羽,1898,jyu5,5
酚,1899,fan1,1
頑,1900,waan4,4
卸,1901,se3,3
拌,1902,bun6,6
仗,1903,zoeng6,6
陪,1904,pui4,4
姚,1905,jiu4,4
懲,1906,cing4,4
杭,1907,hong4,4
捉,1908,zuk1,1
肚,1909,tou5,5
飄,1910,piu1,1
漂,1911,piu1,1
搜,1912,sau2,2
吾,1913,ng4,4
昆,1914,kwan1,1
欺,1915,hei1,1
郎,1916,long4,4
汁,1917,zap1,1
烷,703,jyun2,2
蕭,1919,siu1,1
郵,1920,jau4,4
雅,1921,ngaa5,5
飾,1922,sik1,1
屍,1923,si1,1
燕,1924,jin3,3
遷,1925,cin1,1
姻,1926,jan1,1
撒,1927,saat3,3
赴,1928,fu6,6
宴,1929,jin3,3
債,1930,zaai3,3
帳,1931,zoeng3,3
煩,1932,faan4,4
斑,1933,baan1,1
旨,1934,zi2,2
鈴,1935,ling4,4
醇,1936,seon4,4
董,1937,dung2,2
姿,1938,zi1,1
雛,1939,co1,1
餅,1940,beng2,2
傅,1941,fu6,6
妥,1942,to5,5
腹,1943,fuk1,1
拆,1944,caak3,3
捅,1945,tung2,2
揉,1946,jau4,4
澱,1947,din6,6
賢,1948,jin4,4
歪,1949,waai1,1
葡,1950,pou4,4
丟,1951,diu1,1
徽,1952,fai1,1
浩,1953,hou6,6
胺,1954,ngon1,1
墊,1955,din3,3
昂,1956,ngong4,4
擋,1957,dong2,2
覽,1958,laam5,5
貪,1959,taam1,1
慰,1960,wai3,3
抹,1961,mut3,3
繳,1962,giu2,2
馮,1963,fung4,4
樑,1964,loeng4,4
汪,1965,wong1,1
慌,1966,fong1,1
諾,1967,nok6,6
姜,1968,goeng1,1
誼,1969,ji4,4
闆,1970,baan2,2
劣,1971,lyut3,3
耀,1972,jiu6,6
誣,1973,mou4,4
攪,1974,gaau2,2
昏,1975,fan1,1
盈,1976,jing4,4
躺,1977,tong2,2
喬,1978,kiu4,4
溪,1979,kai1,1
騎,1980,ke4,4
叢,1981,cung4,4
盧,1982,lou4,4
譽,1983,jyu6,6
咨,1984,zi1,1
悶,1985,mun6,6
屏,1986,ping4,4
駕,1987,gaa3,3
倆,1988,loeng5,5
悟,1989,ng6,6
纜,1990,laam6,6
摘,1991,zaak6,6
擲,1992,zaak6,6
餌,1993,nei6,6
堡,1994,bou2,2
頗,1995,po1,1
幻,1996,waan6,6
惠,1997,wai6,6
柄,1998,beng3,3
佳,1999,gaai1,1
慘,2000,caam2,2
仇,2001,sau4,4
御,2002,jyu6,6
窩,2003,wo1,1
臘,2004,laap6,6
宿,2005,suk1,1
劍,2006,gim3,3
滌,2007,dik6,6
瞧,2008,ciu4,4
潑,2009,put3,3
罩,2010,zaau3,3
蔥,2011,cung1,1
撈,2012,lou1,1
泊,2013,paak3,3
霍,2014,fok3,3
胎,2015,toi1,1
蒼,2016,cong1,1
湘,2017,soeng1,1
濱,2018,ban1,1
砍,2019,ham2,2
霞,2020,haa4,4
邵,2021,siu6,6
酬,2022,cau4,4
萄,2023,tou4,4
淮,2024,waai4,4
熊,2025,hung4,4
瘋,2026,fung1,1
遂,2027,seoi6,6
烘,2028,hong3,3
糞,2029,fan3,3
戈,2030,gwo1,1
檔,2031,dong3,3
嫂,2032,sou2,2
裕,2033,jyu6,6
駁,2034,bok3,3
徙,2035,saai2,2
嚇,2036,haak3,3
捐,2037,gyun1,1
箭,2038,zin3,3
撐,2039,caang1,1
腸,2040,coeng4,4
攤,2041,taan1,1
殿,2042,din6,6
蓮,2043,lin4,4
辨,2044,bin6,6
醬,2045,zoeng3,3
疫,2046,jik6,6
哀,2047,oi1,1
堵,2048,dou2,2
蔡,2049,coi3,3
沫,2050,mut3,3
皺,2051,zau3,3
暢,2052,coeng3,3
疊,2053,dip6,6
萊,2054,loi4,4
閣,2055,gok3,3
敲,2056,haau1,1
轄,2057,hat6,6
痕,2058,han4,4
鉤,2059,ngau1,1
壩,2060,baa3,3
溜,2061,lau1,1
丘,2062,jau1,1
玄,2063,jyun4,4
禍,2064,wo6,6
餓,2065,ngo6,6
曰,2066,joek6,6
彭,2067,paang4,4
邏,2068,lo4,4
卿,2069,hing1,1
吞,2070,tan1,1
妨,2071,fong4,4
艇,2072,teng5,5
韋,2073,wai5,5
怨,2074,jyun3,3
柏,2075,paak3,3
歇,2076,hit3,3
矮,2077,ngai2,2
捻,2078,nim2,2
祿,2079,luk6,6
郊,2080,gaau1,1
漠,2081,mok6,6
冤,2082,jyun1,1
宏,2083,wang4,4
粹,2084,seoi6,6
顛,2085,din1,1
仙,2086,sin1,1
肪,2087,fong1,1
刮,2088,gwaat3,3
押,2089,aat3,3
挨,2090,ngaai4,4
娃,2091,waa1,1
醛,2092,cyun4,4
拾,2093,sap6,6
勿,2094,mat6,6
侯,2095,hau4,4
吪,2096,ngo4,4
夕,2097,zik6,6
戀,2098,lyun2,2
鋅,2099,san1,1
篡,2100,saan3,3
兆,2101,siu6,6
淋,2102,lam4,4
蓬,2103,pung4,4
豈,2104,hei2,2
釉,2105,jau6,6
妄,2106,mong5,5
拘,2107,keoi1,1
捲,2108,gyun2,2
魂,2109,wan4,4
摧,2110,ceoi1,1
氟,2111,fat1,1
頌,2112,zung6,6
渾,2113,wan4,4
誘,2114,jau5,5
蹟,2115,zik1,1
鈾,2116,jau2,2
犁,2117,lai4,4
譴,2118,hin2,2
嘉,2119,gaa1,1
墻,2120,coeng4,4
戚,2121,cik1,1
扯,2122,ce2,2
滋,2123,zi1,1
猶,2124,jau4,4
舶,2125,baak3,3
萌,2126,mang4,4
頒,2127,baan1,1
焊,2128,hon6,6
舌,2129,sit6,6
匹,2130,pat1,1
嘗,2131,soeng4,4
媳,2132,sik1,1
肺,2133,fai3,3
掠,2134,loek6,6
烹,2135,paang1,1
疲,2136,pei4,4
釀,2137,joeng6,6
窄,2138,zaak3,3
馳,2139,ci4,4
鴉,2140,aa1,1
狹,2141,haap6,6
辱,2142,juk6,6
契,2143,kai3,3
敦,2144,deon1,1
遣,2145,hin2,2
菲,2146,fei1,1
韌,2147,jan6,6
拳,2148,kyun4,4
辣,2149,laat6,6
稈,2150,gon2,2
臥,2151,ngo6,6
醉,2152,zeoi3,3
墓,2153,mou6,6
矣,2154,ji5,5
竭,2155,kit3,3
茅,2156,maau4,4
艷,2157,jim6,6
輿,2158,jyu4,4
締,2159,dai3,3
賬,2160,zoeng3,3
尿,2161,niu6,6
葬,2162,zong3,3
履,2163,lei5,5
渣,2164,zaa1,1
禽,2165,kam4,4
襯,2166,can3,3
賠,2167,pui4,4
躲,2168,do2,2
奸,2169,gaan1,1
溉,2170,koi3,3
稼,2171,gaa3,3
賊,2172,caak6,6
妃,2173,fei1,1
抖,2174,dau2,2
醋,2175,cou3,3
廉,2176,lim4,4
掀,2177,hin1,1
晴,2178,cing4,4
褲,2179,fu3,3
后,2180,hau6,6
茫,2181,mong4,4
亥,2182,hoi6,6
悠,2183,jau4,4
攔,2184,laan4,4
慧,2185,wai6,6
闡,2186,cin2,2
佐,2187,zo3,3
孝,2188,haau3,3
豎,2189,syu6,6
佩,2190,pui3,3
繡,2191,sau3,3
遙,2192,jiu4,4
麟,2193,leon4,4
挽,2194,waan5,5
捨,2195,se2,2
逝,2196,sai6,6
愁,2197,sau4,4
昭,2198,ciu1,1
肖,2199,ciu3,3
窯,2200,jiu4,4
臭,2201,cau3,3
芬,2202,fan1,1
逢,2203,fung4,4
捷,2204,zit6,6
堤,2205,tai4,4
宙,2206,zau6,6
盲,2207,maang4,4
閘,2208,zaap6,6
披,2209,pei1,1
輻,2210,fuk1,1
鑿,2211,zok6,6
凶,2212,hung1,1
幽,2213,jau1,1
拓,2214,tok3,3
杠,2215,gong3,3
狼,2216,long4,4
崩,2217,bang1,1
慎,2218,san6,6
綢,2219,cau4,4
蜂,2220,fung1,1
惟,2221,wai4,4
誓,2222,sai6,6
錶,2223,biu1,1
餐,2224,caan1,1
叉,2225,caa1,1
址,2226,zi2,2
幟,2227,ci3,3
彌,2228,mei4,4
芝,2229,zi1,1
僕,2230,buk6,6
唉,2231,aai1,1
濤,2232,tou4,4
慨,2233,koi3,3
翠,2234,ceoi3,3
饑,2235,gei1,1
劫,2236,gip3,3
卜,2237,buk1,1
盒,2238,hap6,6
倘,2239,soeng4,4
寂,2240,zik6,6
椒,2241,ziu1,1
炳,2242,bing2,2
畏,2243,wai3,3
閤,2244,gap3,3
頸,2245,geng2,2
凌,2246,ling4,4
喉,2247,hau4,4
墾,2248,han2,2
巾,2249,gan1,1
拚,2250,ping1,1
獸,2251,sau3,3
乾,2252,gon1,1
爽,2253,song2,2
蔽,2254,bai3,3
蘆,2255,lou4,4
掙,2256,zang1,1
竊,2257,sit3,3
譚,2258,taam4,4
謬,2259,mau6,6
褐,2260,hot3,3
傘,2261,saan3,3
儒,2262,jyu4,4
翅,2263,ci3,3
顫,2264,zin3,3
剖,2265,fau2,2
晃,2266,fong2,2
胚,2267,pui1,1
湊,2268,cau3,3
濁,2269,zuk6,6
眠,2270,min4,4
杰,2271,git6,6
霜,2272,soeng1,1
礁,2273,ziu1,1
蔑,2274,mit6,6
喀,2275,haak3,3
抄,2276,caau1,1
奈,2277,noi6,6
闖,2278,cong2,2
碑,2279,bei1,1
耶,2280,je4,4
蓉,2281,jung4,4
刨,2282,paau4,4
喚,2283,wun6,6
壺,2284,wu4,4
柵,2285,saan1,1
猜,2286,caai1,1
蹲,2287,cyun4,4
掏,2288,tou4,4
梳,2289,so1,1
樸,2290,pok3,3
澳,2291,ou3,3
玲,2292,ling4,4
紐,2293,nau2,2
綿,2294,min4,4
郡,2295,gwan6,6
鋸,2296,geoi3,3
膀,2297,bong2,2
錘,2298,ceoi4,4
鼠,2299,syu2,2
椅,2300,ji2,2
殷,2301,jan1,1
穴,2302,jyut6,6
遮,2303,ze1,1
吵,2304,caau2,2
萍,2305,ping4,4
厭,2306,jim3,3
俱,2307,keoi1,1
呂,2308,leoi5,5
囊,2309,nong4,4
捧,2310,bung2,2
澄,2311,cing4,4
哎,2312,aai1,1
瞬,2313,seon3,3
閩,2314,man5,5
雌,2315,ci1,1
饒,2316,jiu4,4
哨,2317,saau3,3
滸,2318,wu2,2
俺,2319,jim3,3
茂,2320,mau6,6
蘗,2321,jit6,6
勳,2322,fan1,1
肝,2323,gon1,1
盯,2324,ding1,1
籽,2325,zi2,2
恥,2326,ci2,2
濫,2327,laam6,6
菊,2328,guk1,1
帥,2329,seoi3,3
戒,2330,gaai3,3
鞭,2331,bin1,1
詢,2332,seon1,1
鎂,2333,mei5,5
宅,2334,zaak6,6
淀,2335,din6,6
烤,2336,haau1,1
賈,2337,gaa2,2
跌,2338,dit3,3
笛,2339,dek6,6
蠻,2340,maan4,4
鄂,2341,ngok6,6
棍,2342,gwan3,3
睜,2343,zaang1,1
鷊,2344,jik6,6
云,2345,wan4,4
岌,2346,kap1,1
曆,2347,lik6,6
鼎,2348,ding2,2
侍,2349,si6,6
嚷,2350,joeng5,5
藩,2351,faan4,4
匪,2352,fei2,2
穎,2353,wing6,6
糟,2354,zou1,1
纏,2355,cin4,4
卑,2356,bei1,1
堪,2357,ham1,1
壇,2358,taan4,4
氛,2359,fan1,1
悅,2360,jyut6,6
碘,2361,din2,2
縛,2362,bok3,3
屠,2363,tou4,4
攀,2364,paan1,1
溢,2365,jat6,6
甫,2366,pou2,2
凹,2367,nap1,1
拱,2368,gung2,2
攜,2369,kwai4,4
晰,2370,sik1,1
朽,2371,nau2,2
吟,2372,jam4,4
迪,2373,dik6,6
菱,2374,ling4,4
謙,2375,him1,1
俊,2376,zeon3,3
嬸,2377,sam2,2
盼,2378,paan3,3
艘,2379,sau2,2
芒,2380,mong4,4
唇,2381,seon4,4
挫,2382,co3,3
浴,2383,juk6,6
羞,2384,sau1,1
趁,2385,can3,3
岳,2386,ngok6,6
愚,2387,jyu4,4
疼,2388,tung3,3
腫,2389,zung2,2
萎,2390,wai1,1
樞,2391,syu1,1
絞,2392,gaau2,2
餵,2393,wai3,3
嫁,2394,gaa3,3
慕,2395,mou6,6
茲,2396,zi1,1
艙,2397,cong1,1
蘋,2398,ping4,4
豫,2399,jyu6,6
諭,2400,jyu6,6
蠶,2401,caam4,4
潘,2402,pun1,1
翁,2403,jung1,1
迭,2404,dit6,6
頃,2405,king2,2
匠,2406,zoeng6,6
榜,2407,bong2,2
欠,2408,him3,3
沾,2409,zim1,1
疇,2410,cau4,4
胃,2411,wai6,6
茬,2412,ci4,4
蹤,2413,zung1,1
哼,2414,hang1,1
弊,2415,bai6,6
桐,2416,tung4,4
歧,2417,kei4,4
沃,2418,juk1,1
潰,2419,kui2,2
鵬,2420,paang4,4
悼,2421,dou6,6
惑,2422,waak6,6
蔗,2423,ze3,3
晒,2424,saai3,3
潭,2425,taam4,4
孢,2426,baau1,1
診,2427,can2,2
庸,2428,jung4,4
渦,2429,gwo1,1
迴,2430,wui4,4
