rank,jyutpi,ch
1120,zi1   ,脂 
1121,ciu4  ,潮 
1122,je4   ,爺 
1123,fat1  ,忽 
1124,sou3  ,塑 
1125,wai4  ,遺 
1126,cung4 ,松 
1127,leoi6 ,累 
1128,jyu6  ,愈 
1129,zyu1  ,朱 
1130,tai3  ,替 
1131,cim1  ,纖 
1132,dau6  ,豆 
1133,king1 ,傾 
1134,cou1  ,粗 
1135,soeng6,尚 
1136,tung3 ,痛 
1137,co2   ,楚 
1138,ging1 ,驚 
1139,bik1  ,壁 
1140,cung1 ,衝 
1141,ze6   ,謝 
1142,fan5  ,奮 
1143,kau3  ,購 
1144,mo4   ,磨 
1145,gwan1 ,君 
1146,ci4   ,池 
1147,pong4 ,旁 
1148,seoi3 ,碎 
1149,gwat1 ,骨 
1150,zing1 ,徵 
1151,gaam1 ,監 
1152,bou6  ,捕 
1153,dai6  ,弟 
1154,wu4   ,胡 
1155,bou6  ,暴 
1156,got3  ,割 
1157,syu4  ,殊 
1158,gun3  ,貫 
1159,sik1  ,釋 
1160,tok3  ,托 
1161,ci4   ,詞 
1162,deon6 ,頓 
1163,bou2  ,寶 
1164,ng5   ,午 
1165,can4  ,塵 
1166,man4  ,聞 
1167,kit3  ,揭 
1168,paau3 ,炮 
1169,caan4 ,殘 
1170,kiu4  ,橋 
1171,fu5   ,婦 
1172,zung1 ,綜 
1173,ging2 ,警 
1174,ziu1  ,招 
1175,ng4   ,吳 
1176,fu6   ,付 
1177,fau4  ,浮 
1178,zou1  ,遭 
1179,ceoi4 ,徐 
1180,dung1 ,冬 
1181,nei5  ,您 
1182,jiu4  ,搖 
1183,guk1  ,谷 
1184,soeng1,箱 
1185,gaak3 ,隔 
1186,deng6 ,訂 
1187,naam4 ,男 
1188,ceoi1 ,吹 
1189,jyun4 ,園 
1190,cyu5  ,柱 
1191,tong4 ,唐 
1192,fan1  ,紛 
1193,baai6 ,敗 
1194,zeoi2 ,嘴 
1195,sung3 ,宋 
1196,bo1   ,玻 
1197,geoi6 ,巨 
1198,gaang1,耕 
1199,taan2 ,坦 
1200,wing4 ,榮 
1201,waan1 ,灣 
1202,bai3  ,閉 
1203,gin6  ,鍵 
1204,mok1  ,剝 
1205,faan4 ,凡 
1206,bing6 ,並 
1207,zyu3  ,駐 
1208,gau3  ,救 
1209,wo1   ,鍋 
1210,jan1  ,恩 
1211,jing4 ,凝 
1212,gaan2 ,堿 
1213,ci2   ,齒 
1214,zit6  ,截 
1215,zik1  ,跡 
1216,maa4  ,麻 
1217,gam3  ,禁 
1218,fong2 ,紡 
1219,fai3  ,廢 
1220,baan2 ,版 
1221,wun4  ,緩 
1222,zing6 ,淨 
1223,zing1 ,睛 
1224,coeng1,昌 
1225,fan1  ,婚 
1226,sip3  ,涉 
1227,tung2 ,筒 
1228,caap3 ,插 
1229,ngon6 ,岸 
1230,long5 ,朗 
1231,zong1 ,莊 
1232,gaai1 ,街 
1233,gu1   ,姑 
1234,mau6  ,貿 
1235,nou4  ,奴 
1236,lin6  ,煉 
1237,fu6   ,腐 
1238,laa1  ,啦 
1239,gwaan3,慣 
1240,sing4 ,乘 
1241,fui1  ,恢 
1242,wan4  ,勻 
1243,loeng4,梁 
1244,saa1  ,紗 
1245,bin6  ,辯 
1246,ji5   ,耳 
1247,biu1  ,彪 
1248,dai2  ,抵 
1249,san4  ,臣 
1250,jik1  ,億 
1251,mak6  ,脈 
1252,lei4  ,璃 
1253,sau3  ,秀 
1254,saat3 ,薩 
1255,ngo4  ,俄 
1256,mong5 ,網 
1257,mou5  ,舞 
1258,dim3  ,店 
1259,pan3  ,噴 
1260,zung3 ,縱 
1261,cyun3 ,寸 
1262,tung4 ,童 
1263,hon6  ,汗 
1264,hung4 ,洪 
1265,ho6   ,賀 
1266,sim2  ,閃 
1267,gwaa3 ,掛 
1268,gaan2 ,柬 
1269,baau3 ,爆 
1270,hei1  ,烯 
1271,lak6  ,勒 
1272,zeon1 ,津 
1273,zaat3 ,軋 
1274,dou6  ,稻 
1275,jyun5 ,軟 
1276,jung5 ,勇 
1277,zoeng6,像 
1278,gon1  ,杆 
1279,lei4  ,厘 
1280,gwan2 ,滾 
1281,mung4 ,蒙 
1282,fong1 ,芳 
1283,hang2 ,肯 
1284,bo1   ,坡 
1285,teoi2 ,腿 
1286,ji4   ,儀 
1287,leoi5 ,旅 
1288,mei5  ,尾 
1289,fo2   ,伙 
1290,dong6 ,蕩 
1291,bing1 ,冰 
1292,gung3 ,貢 
1293,dang1 ,登 
1294,lai4  ,黎 
1295,zyun3 ,鑽 
1296,bei3  ,秘 
1297,tou4  ,逃 
1298,zoeng3,障 
1299,on1   ,氨 
1300,tong1 ,湯 
1301,gwok3 ,郭 
1302,mong4 ,亡 
1303,fung1 ,峰 
1304,bai6  ,幣 
1305,gong2 ,港 
1306,fuk6  ,伏 
1307,mung6 ,夢 
1308,mau5  ,畝 
1309,gwai2 ,軌 
1310,bat1  ,畢 
1311,caat3 ,擦 
1312,mok6  ,莫 
1313,ci3   ,刺 
1314,long6 ,浪 
1315,wun4  ,援 
1316,zyu1  ,株 
1317,gin6  ,健 
1318,sau6  ,售 
1319,gu2   ,股 
1320,coi2  ,采 
1321,dou2  ,島 
1322,paau3 ,泡 
1323,gam1  ,甘 
1324,seoi6 ,睡 
1325,zyu3  ,鑄 
1326,jau1  ,休 
1327,fat6  ,閥 
1328,muk6  ,牧 
1329,jiu2  ,繞 
1330,zit3  ,哲 
1331,zaa3  ,炸 
1332,leon4 ,磷 
1333,pang4 ,朋 
1334,zik1  ,績 
1335,taam5 ,淡 
1336,kai2  ,啟 
1337,zim1  ,尖 
1338,ham6  ,陷 
1339,caai4 ,柴 
1340,cing4 ,呈 
1341,tou4  ,徒 
1342,ngaan4,顏 
1343,leoi6 ,淚 
1344,saau2 ,稍 
1345,mong4 ,忘 
1346,zaat3 ,扎 
1347,bam1  ,泵 
1348,laam4 ,藍 
1349,to1   ,拖 
1350,dung6 ,洞 
1351,nung6 ,弄 
1352,sau6  ,授 
1353,geng3 ,鏡 
1354,bou3  ,埔 
1355,zong3 ,壯 
1356,san1  ,辛 
1357,fung1 ,鋒 
1358,heoi1 ,虛 
1359,pan4  ,貧 
1360,fat6  ,佛 
1361,waan1 ,彎 
1362,mo1   ,摩 
1363,taai3 ,泰 
1364,wui6  ,匯 
1365,jau3  ,幼 
1366,zyun1 ,尊 
1367,ting4 ,廷 
1368,coeng1,窗 
1369,gong1 ,綱 
1370,si6   ,氏 
1371,dai6  ,隸 
1372,ji4   ,疑 
1373,gung1 ,宮 
1374,ze2   ,姐 
1375,zan3  ,震 
1376,seoi6 ,瑞 
1377,gwaai3,怪 
1378,jau4  ,尤 
1379,gaap3 ,夾 
1380,ceon4 ,循 
1381,kam4  ,琴 
1382,miu4  ,描 
1383,mok6  ,膜 
1384,wai4  ,違 
1385,zyu1  ,珠 
1386,jyun4 ,緣 
1387,jiu1  ,腰 
1388,zi1   ,枝 
1389,sam1  ,森 
1390,kung4 ,窮 
1391,zuk1  ,竹 
1392,kau1  ,溝 
1393,ceoi1 ,催 
1394,jik1  ,憶 
1395,sing4 ,繩 
1396,bong1 ,邦 
1397,zing6 ,剩 
1398,laan4 ,欄 
1399,zoeng1,漿 
1400,jung2 ,擁 
1401,ngaa4 ,牙 
1402,cyu5  ,貯 
1403,lai5  ,禮 
1404,leoi6 ,濾 
1405,naap6 ,鈉 
1406,man4  ,紋 
1407,zaa1  ,咱 
1408,paak3 ,拍 
1409,baa6  ,罷 
1410,hang6 ,幸 
1411,haam3 ,喊 
1412,zau6  ,袖 
1413,aai1  ,埃 
1414,kan4  ,勤 
1415,ziu1  ,焦 
1416,fat6  ,罰 
1417,ng5   ,伍 
1418,cim4  ,潛 
1419,mak6  ,墨 
1420,fung4 ,縫 
1421,sing3 ,姓 
1422,hon1  ,刊 
1423,cuk1  ,畜 
1424,baau2 ,飽 
1425,zoeng2,獎 
1426,leoi5 ,鋁 
1427,jyu4  ,余 
1428,gwai2 ,鬼 
1429,lai6  ,麗 
1430,waat3 ,挖 
1431,kwaa1 ,跨 
1432,mak6  ,默 
1433,lin2  ,鏈 
1434,fong2 ,仿 
1435,sou3  ,掃 
1436,hot3  ,喝 
1437,doi6  ,袋 
1438,hok3  ,殼 
1439,taan3 ,炭 
1440,mok6  ,幕 
1441,zyu1  ,諸 
1442,wu4   ,弧 
1443,wu1   ,污 
1444,lai6  ,勵 
1445,mui4  ,梅 
1446,naai5 ,奶 
1447,git3  ,潔 
1448,zoi1  ,災 
1449,zau1  ,舟 
1450,gaam3 ,鑒 
1451,bun2  ,苯 
1452,zung6 ,訟 
1453,pou5  ,抱 
1454,wai2  ,毀 
1455,dung2 ,懂 
1456,hon4  ,寒 
1457,zi3   ,智 
1458,gei3  ,寄 
1459,gaai3 ,屆 
1460,joek3 ,躍 
1461,tiu1  ,挑 
1462,dou6  ,渡 
1463,daan1 ,丹 
1464,gaan1 ,艱 
1465,bui3  ,貝 
1466,bat6  ,拔 
1467,de1   ,爹 
1468,daai3 ,戴 
1469,maa5  ,碼 
1470,ngaa4 ,芽 
1471,pung3 ,碰 
1472,cek3  ,赤 
1473,jyu4  ,漁 
1474,huk1  ,哭 
1475,jyun4 ,鉛 
1476,ging3 ,敬 
1477,fo2   ,顆 
1478,ban1  ,奔 
1479,juk6  ,欲 
1480,zung6 ,仲 
1481,o1    ,柯 
1482,hei1  ,稀 
1483,fu2   ,虎 
1484,mui6  ,妹 
1485,fat6  ,乏 
1486,zan1  ,珍 
1487,coek3 ,桌 
1488,san1  ,申 
1489,zeon1 ,遵 
1490,wan5  ,允 
1491,lo4   ,螺 
1492,lung4 ,隆 
1493,cong1 ,倉 
1494,ngai6 ,魏 
1495,hiu2  ,曉 
1496,jeoi6 ,銳 
1497,zing1 ,征 
1498,gim1  ,兼 
1499,daam6 ,氮 
1500,jan2  ,隱 
1501,coeng4,牆 
1502,ngoi6 ,礙 
1503,hak1  ,赫 
1504,zung1 ,忠 
1505,but6  ,撥 
1506,zeon2 ,准 
1507,suk1  ,肅 
1508,gong1 ,缸 
1509,coeng2,搶 
1510,hin1  ,牽 
1511,bok3  ,博 
1512,haau2 ,巧 
1513,hing1 ,兄 
1514,dou6  ,杜 
1515,seon3 ,訊 
1516,sing4 ,誠 
1517,bik1  ,碧 
1518,coeng4,祥 
1519,jip6  ,頁 
1520,ceon4 ,巡 
1521,geoi2 ,矩 
1522,cam4  ,尋 
1523,bei1  ,悲 
1524,gun3  ,灌 
1525,ling4 ,齡 
1526,leon4 ,倫 
1527,piu3  ,票 
1528,gwai3 ,桂 
1529,sing3 ,聖 
1530,hap1  ,恰 
1531,hung2 ,恐 
1532,zeng6 ,鄭 
1533,ceoi3 ,趣 
1534,toi4  ,抬 
1535,fong1 ,荒 
1536,tip3  ,貼 
1537,tang4 ,騰 
1538,jau4  ,柔 
1539,dik6  ,滴 
1540,ho1   ,呵 
1541,maang5,猛 
1542,loeng6,輛 
1543,fut3  ,闊 
1544,ging6 ,勁 
1545,cai1  ,妻 
1546,tin4  ,填 
1547,cit3  ,撤 
1548,cyu5  ,儲 
1549,se3   ,舍 
1550,cin2  ,淺 
1551,naau6 ,鬧 
1552,jiu2  ,擾 
1553,zi2   ,紫 
1554,zaan3 ,讚 
1555,saa1  ,砂 
1556,hei3  ,戲 
1557,dai6  ,遞 
1558,diu3  ,吊 
1559,tou4  ,陶 
1560,fat6  ,伐 
1561,liu4  ,療 
1562,ping4 ,瓶 
1563,po4   ,婆 
1564,bei3  ,臂 
1565,fu2   ,撫 
1566,mo2   ,摸 
1567,jan2  ,忍 
1568,haa1  ,蝦 
1569,hung1 ,胸 
1570,leon4 ,鄰 
1571,ngau5 ,偶 
1572,zai1  ,擠 
1573,hei3  ,棄 
1574,gung2 ,鞏 
1575,pou1  ,鋪 
1576,jyu5  ,乳 
1577,cou4  ,槽 
1578,sung1 ,鬆 
1579,jan4  ,仁 
1580,gat1  ,吉 
1581,dang6 ,鄧 
1582,jung4 ,熔 
1583,laan6 ,爛 
1584,zyun1 ,磚 
1585,zou1  ,租 
1586,cim1  ,簽 
1587,wu1   ,烏 
1588,laam6 ,艦 
1589,bun6  ,伴 
1590,gwaa1 ,瓜 
1591,bing2 ,丙 
1592,zaam6 ,暫 
1593,cou3  ,燥 
1594,pou2  ,譜 
1595,zoeng6,橡 
1596,nyun5 ,暖 
1597,lau5  ,柳 
1598,paai4 ,牌 
1599,joeng1,秧 
1600,hin1  ,縴 
1601,mai4  ,迷 
1602,daam2 ,膽 
1603,coeng4,詳 
1604,wong4 ,簧 
1605,daap6 ,踏 
1606,ngoi4 ,呆 
1607,ci4   ,瓷 
1608,ban1  ,賓 
1609,lok6  ,洛 
1610,wu4   ,糊 
1611,fan5  ,憤 
1612,ging6 ,競 
1613,gwik1 ,隙 
1614,nou6  ,怒 
1615,nim1  ,粘 
1616,naai5 ,乃 
1617,seoi5 ,緒 
1618,gin1  ,肩 
1619,zik6  ,籍 
1620,fai1  ,輝 
1621,man5  ,敏 
1622,hei1  ,熙 
1623,gaai1 ,皆 
1624,gon1  ,桿 
1625,zing1 ,偵 
1626,jyun4 ,懸 
1627,gwat6 ,掘 
1628,hoeng2,享 
1629,gau2  ,糾 
1630,sing2 ,醒 
1631,kong4 ,狂 
1632,so2   ,鎖 
1633,han6  ,恨 
1634,sang1 ,牲 
1635,baa3  ,霸 
1636,zi3   ,誌 
1637,paa4  ,爬 
1638,soeng2,賞 
1639,waan2 ,玩 
1640,jik6  ,逆 
1641,ling4 ,陵 
1642,zuk1  ,祝 
1643,zit3  ,浙 
1644,miu5  ,秒 
1645,maau6 ,貌 
1646,jik6  ,役 
1647,bei2  ,彼 
1648,sik1  ,悉 
1649,mou6  ,冒 
1650,ngaap3,鴨 
1651,laap6 ,蠟 
1652,ceoi1 ,趨 
1653,tou4  ,塗 
1654,fung6 ,鳳 
1655,san4  ,晨 
1656,bui3  ,輩 
1657,dit6  ,秩 
1658,leon2 ,卵 
1659,cyu5  ,署 
1660,tai1  ,梯 
1661,jim4  ,炎 
1662,taan1 ,灘 
1663,sai1  ,篩 
1664,keoi1 ,驅 
1665,haap6 ,峽 
1666,saa1  ,啥 
1667,sau6  ,壽 
1668,jik6  ,譯 
1669,zam3  ,浸 
1670,cyun4 ,泉 
1671,mou6  ,帽 
1672,gwai1 ,硅 
1673,ci4   ,遲 
1674,goeng1,疆 
1675,kei4  ,棋 
1676,taai3 ,貸 
1677,lau6  ,漏 
1678,gun1  ,冠 
1679,nyun6 ,嫩 
1680,gou2  ,稿 
1681,hip3  ,脅 
1682,sam1  ,芯 
1683,lou4  ,牢 
1684,bun6  ,叛 
1685,sik6  ,蝕 
1686,ou3   ,奧 
1687,ming4 ,鳴 
1688,leng5 ,嶺 
1689,joeng4,羊 
1690,pang4 ,憑 
1691,cyun3 ,串 
1692,tong4 ,塘 
1693,kui2  ,繪 
1694,jung4 ,融 
1695,gaau3 ,酵 
1696,pun4  ,盆 
1697,sek3  ,錫 
1698,miu6  ,廟 
1699,dung3 ,凍 
1700,sip3  ,攝 
1701,cau4  ,籌 
1702,fu6   ,輔 
1703,zaap6 ,襲 
1704,keoi5 ,拒 
1705,gan1  ,筋 
1706,liu4  ,僚 
1707,hon5  ,旱 
1708,gaap3 ,鉀 
1709,cat1  ,漆 
1710,niu5  ,鳥 
1711,mei4  ,眉 
1712,tim1  ,添 
1713,so1   ,疏 
1714,paang5,棒 
1715,seoi6 ,穗 
1716,maai4 ,埋 
1717,siu1  ,硝 
1718,hon4  ,韓 
1719,kiu4  ,僑 
1720,nau2  ,扭 
1721,bik1  ,逼 
1722,ting5 ,挺 
1723,loeng4,涼 
1724,zoi1  ,栽 
1725,wun2  ,碗 
1726,caau2 ,炒 
1727,bui1  ,杯 
1728,hyun3 ,勸 
1729,waan6 ,患 
1730,zaan3 ,贊 
1731,lau4  ,餾 
1732,hou4  ,豪 
1733,liu4  ,遼 
1734,but6  ,勃 
1735,hung4 ,鴻 
1736,lei6  ,吏 
1737,daan3 ,旦 
1738,baai3 ,拜 
1739,gau2  ,狗 
1740,gwan2 ,輥 
1741,jim2  ,掩 
1742,jam2  ,飲 
1743,bun1  ,搬 
1744,maa6  ,罵 
1745,ngau1 ,勾 
1746,ci4   ,辭 
1747,kau3  ,扣 
1748,zoeng6,丈 
1749,gu2   ,估 
1750,jung4 ,絨 
1751,zoeng2,蔣 
1752,mou6  ,霧 
1753,min6  ,麵 
1754,mou5  ,姆 
1755,ji5   ,擬 
1756,do2   ,朵 
1757,jyu5  ,宇 
1758,cap1  ,輯 
1759,sim2  ,陝 
1760,faan1 ,番 
1761,diu1  ,雕 
1762,soeng4,償 
1763,cuk1  ,蓄 
1764,zin2  ,剪 
1765,sung4 ,崇 
1766,coeng1,倡 
1767,ngaau5,咬 
1768,teng1 ,廳 
1769,syu4  ,薯 
1770,sai2  ,駛 
1771,caat3 ,刷 
1772,cik1  ,斥 
1773,fu3   ,賦 
1774,fung6 ,奉 
1775,sin3  ,扇 
1776,maan6 ,曼 
1777,sam2  ,沈 
1778,maan6 ,漫 
1779,giu1  ,澆 
1780,koi3  ,鈣 
1781,tou4  ,桃 
1782,zai2  ,仔 
1783,fu4   ,扶 
1784,zuk6  ,俗 
1785,faan2 ,返 
1786,kwai1 ,虧 
1787,hong1 ,腔 
1788,haai4 ,鞋 
1789,suk1  ,叔 
1790,ciu2  ,悄 
1791,zong6 ,撞 
1792,kwang1,框 
1793,fuk1  ,覆 
1794,zau1  ,週 
1795,pin3  ,騙 
1796,ham1  ,勘 
1797,wong6 ,旺 
1798,fai3  ,沸 
1799,gu1   ,孤 
1800,nim1  ,黏 
1801,tou3  ,吐 
1802,maang6,孟 
1803,wat1  ,屈 
1804,keoi4 ,渠 
1805,joeng5,仰 
1806,miu6  ,妙 
1807,sik1  ,惜 
1808,zat6  ,疾 
1809,pik1  ,辟 
1810,han2  ,狠 
1811,zoeng3,脹 
1812,haai4 ,諧 
1813,paau1 ,拋 
1814,wai3  ,喂 
1815,mui4  ,霉 
1816,song1 ,桑 
1817,lei1  ,哩 
1818,seoi1 ,衰 
1819,maa3  ,嘛 
1820,gong1 ,崗 
1821,ling4 ,棱 
1822,sam3  ,滲 
1823,dou6  ,盜 
1824,zong1 ,髒 
1825,laai6 ,賴 
1826,tim4  ,甜 
1827,cou4  ,曹 
1828,jyut6 ,閱 
1829,lai6  ,厲 
1830,gei1  ,肌 
1831,ting1 ,烴 
1832,hong6 ,巷 
1833,ngai6 ,毅 
1834,wai5  ,緯 
1835,zok6  ,昨 
1836,ngai6 ,偽 
1837,zyu2  ,煮 
1838,zing3 ,症 
1839,daap3 ,搭 
1840,deng1 ,釘 
1841,ging3 ,莖 
1842,lung4 ,籠 
1843,taan3 ,嘆 
1844,gwaan1,綸 
1845,huk6  ,酷 
1846,wu4   ,鬍 
1847,tau1  ,偷 
1848,gung1 ,弓 
1849,zeoi1 ,錐 
1850,hang4 ,恒 
1851,jau4  ,遊 
1852,haang1,坑 
1853,bei6  ,鼻 
1854,zeoi6 ,敘 
1855,juk6  ,獄 
1856,jik6  ,翼 
1857,lok3  ,絡 
1858,dai6  ,逮 
1859,jung2 ,湧 
1860,gun3  ,罐 
1861,jik1  ,抑 
1862,paang4,棚 
1863,paang4,膨 
1864,zi6   ,寺 
1865,cai3  ,砌 
1866,so1   ,蔬 
1867,zaau6 ,驟 
1868,muk6  ,穆 
1869,je5   ,冶 
1870,fu1   ,枯 
1871,dat6  ,凸 
1872,san1  ,紳 
1873,pui1  ,坯 
1874,jim6  ,焰 
1875,hei1  ,犧 
1876,caak3 ,冊 
1877,gwang1,轟 
1878,zi3   ,緻 
1879,zeon3 ,晉 
1880,sau3  ,瘦 
1881,song3 ,喪 
1882,lung5 ,壟 
1883,ding3 ,錠 
1884,gam2  ,錦 
1885,ceon4 ,旬 
1886,dyun3 ,鍛 
1887,jiu1  ,邀 
1888,jan1  ,欣 
1889,ting4 ,亭 
1890,zi2   ,酯 
1891,syu1  ,舒 
1892,maai6 ,邁 
1893,jau1  ,憂 
1894,ceoi3 ,脆 
1895,haan4 ,閒 
1896,pok3  ,撲 
1897,zoeng3,漲 
1898,jyu5  ,羽 
1899,fan1  ,酚 
1900,waan4 ,頑 
1901,se3   ,卸 
1902,bun6  ,拌 
1903,zoeng6,仗 
1904,pui4  ,陪 
1905,jiu4  ,姚 
1906,cing4 ,懲 
1907,hong4 ,杭 
1908,zuk1  ,捉 
1909,tou5  ,肚 
1910,piu1  ,飄 
1911,piu1  ,漂 
1912,sau2  ,搜 
1913,ng4   ,吾 
1914,kwan1 ,昆 
1915,hei1  ,欺 
1916,long4 ,郎 
1917,zap1  ,汁 
0703,jyun2 ,烷 
1919,siu1  ,蕭 
1920,jau4  ,郵 
1921,ngaa5 ,雅 
1922,sik1  ,飾 
1923,si1   ,屍 
1924,jin3  ,燕 
1925,cin1  ,遷 
1926,jan1  ,姻 
1927,saat3 ,撒 
1928,fu6   ,赴 
1929,jin3  ,宴 
1930,zaai3 ,債 
1931,zoeng3,帳 
1932,faan4 ,煩 
1933,baan1 ,斑 
1934,zi2   ,旨 
1935,ling4 ,鈴 
1936,seon4 ,醇 
1937,dung2 ,董 
1938,zi1   ,姿 
1939,co1   ,雛 
1940,beng2 ,餅 
1941,fu6   ,傅 
1942,to5   ,妥 
1943,fuk1  ,腹 
1944,caak3 ,拆 
1945,tung2 ,捅 
1946,jau4  ,揉 
1947,din6  ,澱 
1948,jin4  ,賢 
1949,waai1 ,歪 
1950,pou4  ,葡 
1951,diu1  ,丟 
1952,fai1  ,徽 
1953,hou6  ,浩 
1954,ngon1 ,胺 
1955,din3  ,墊 
1956,ngong4,昂 
1957,dong2 ,擋 
1958,laam5 ,覽 
1959,taam1 ,貪 
1960,wai3  ,慰 
1961,mut3  ,抹 
1962,giu2  ,繳 
1963,fung4 ,馮 
1964,loeng4,樑 
1965,wong1 ,汪 
1966,fong1 ,慌 
1967,nok6  ,諾 
1968,goeng1,姜 
1969,ji4   ,誼 
1970,baan2 ,闆 
1971,lyut3 ,劣 
1972,jiu6  ,耀 
1973,mou4  ,誣 
1974,gaau2 ,攪 
1975,fan1  ,昏 
1976,jing4 ,盈 
1977,tong2 ,躺 
1978,kiu4  ,喬 
1979,kai1  ,溪 
1980,ke4   ,騎 
1981,cung4 ,叢 
1982,lou4  ,盧 
1983,jyu6  ,譽 
1984,zi1   ,咨 
1985,mun6  ,悶 
1986,ping4 ,屏 
1987,gaa3  ,駕 
1988,loeng5,倆 
1989,ng6   ,悟 
1990,laam6 ,纜 
1991,zaak6 ,摘 
1992,zaak6 ,擲 
1993,nei6  ,餌 
1994,bou2  ,堡 
1995,po1   ,頗 
1996,waan6 ,幻 
1997,wai6  ,惠 
1998,beng3 ,柄 
1999,gaai1 ,佳 
2000,caam2 ,慘 
2001,sau4  ,仇 
2002,jyu6  ,御 
2003,wo1   ,窩 
2004,laap6 ,臘 
2005,suk1  ,宿 
2006,gim3  ,劍 
2007,dik6  ,滌 
2008,ciu4  ,瞧 
2009,put3  ,潑 
2010,zaau3 ,罩 
2011,cung1 ,蔥 
2012,lou1  ,撈 
2013,paak3 ,泊 
2014,fok3  ,霍 
2015,toi1  ,胎 
2016,cong1 ,蒼 
2017,soeng1,湘 
2018,ban1  ,濱 
2019,ham2  ,砍 
2020,haa4  ,霞 
2021,siu6  ,邵 
2022,cau4  ,酬 
2023,tou4  ,萄 
2024,waai4 ,淮 
2025,hung4 ,熊 
2026,fung1 ,瘋 
2027,seoi6 ,遂 
2028,hong3 ,烘 
2029,fan3  ,糞 
2030,gwo1  ,戈 
2031,dong3 ,檔 
2032,sou2  ,嫂 
2033,jyu6  ,裕 
2034,bok3  ,駁 
2035,saai2 ,徙 
2036,haak3 ,嚇 
2037,gyun1 ,捐 
2038,zin3  ,箭 
2039,caang1,撐 
2040,coeng4,腸 
2041,taan1 ,攤 
2042,din6  ,殿 
2043,lin4  ,蓮 
2044,bin6  ,辨 
2045,zoeng3,醬 
2046,jik6  ,疫 
2047,oi1   ,哀 
2048,dou2  ,堵 
2049,coi3  ,蔡 
2050,mut3  ,沫 
2051,zau3  ,皺 
2052,coeng3,暢 
2053,dip6  ,疊 
2054,loi4  ,萊 
2055,gok3  ,閣 
2056,haau1 ,敲 
2057,hat6  ,轄 
2058,han4  ,痕 
2059,ngau1 ,鉤 
2060,baa3  ,壩 
2061,lau1  ,溜 
2062,jau1  ,丘 
2063,jyun4 ,玄 
2064,wo6   ,禍 
2065,ngo6  ,餓 
2066,joek6 ,曰 
2067,paang4,彭 
2068,lo4   ,邏 
2069,hing1 ,卿 
2070,tan1  ,吞 
2071,fong4 ,妨 
2072,teng5 ,艇 
2073,wai5  ,韋 
2074,jyun3 ,怨 
2075,paak3 ,柏 
2076,hit3  ,歇 
2077,ngai2 ,矮 
2078,nim2  ,捻 
2079,luk6  ,祿 
2080,gaau1 ,郊 
2081,mok6  ,漠 
2082,jyun1 ,冤 
2083,wang4 ,宏 
2084,seoi6 ,粹 
2085,din1  ,顛 
2086,sin1  ,仙 
2087,fong1 ,肪 
2088,gwaat3,刮 
2089,aat3  ,押 
2090,ngaai4,挨 
2091,waa1  ,娃 
2092,cyun4 ,醛 
2093,sap6  ,拾 
2094,mat6  ,勿 
2095,hau4  ,侯 
2096,ngo4  ,吪 
2097,zik6  ,夕 
2098,lyun2 ,戀 
2099,san1  ,鋅 
2100,saan3 ,篡 
2101,siu6  ,兆 
2102,lam4  ,淋 
2103,pung4 ,蓬 
2104,hei2  ,豈 
2105,jau6  ,釉 
2106,mong5 ,妄 
2107,keoi1 ,拘 
2108,gyun2 ,捲 
2109,wan4  ,魂 
2110,ceoi1 ,摧 
2111,fat1  ,氟 
2112,zung6 ,頌 
2113,wan4  ,渾 
2114,jau5  ,誘 
2115,zik1  ,蹟 
2116,jau2  ,鈾 
2117,lai4  ,犁 
2118,hin2  ,譴 
2119,gaa1  ,嘉 
2120,coeng4,墻 
2121,cik1  ,戚 
2122,ce2   ,扯 
2123,zi1   ,滋 
2124,jau4  ,猶 
2125,baak3 ,舶 
2126,mang4 ,萌 
2127,baan1 ,頒 
2128,hon6  ,焊 
2129,sit6  ,舌 
2130,pat1  ,匹 
2131,soeng4,嘗 
2132,sik1  ,媳 
2133,fai3  ,肺 
2134,loek6 ,掠 
2135,paang1,烹 
2136,pei4  ,疲 
2137,joeng6,釀 
2138,zaak3 ,窄 
2139,ci4   ,馳 
2140,aa1   ,鴉 
2141,haap6 ,狹 
2142,juk6  ,辱 
2143,kai3  ,契 
2144,deon1 ,敦 
2145,hin2  ,遣 
2146,fei1  ,菲 
2147,jan6  ,韌 
2148,kyun4 ,拳 
2149,laat6 ,辣 
2150,gon2  ,稈 
2151,ngo6  ,臥 
2152,zeoi3 ,醉 
2153,mou6  ,墓 
2154,ji5   ,矣 
2155,kit3  ,竭 
2156,maau4 ,茅 
2157,jim6  ,艷 
2158,jyu4  ,輿 
2159,dai3  ,締 
2160,zoeng3,賬 
2161,niu6  ,尿 
2162,zong3 ,葬 
2163,lei5  ,履 
2164,zaa1  ,渣 
2165,kam4  ,禽 
2166,can3  ,襯 
2167,pui4  ,賠 
2168,do2   ,躲 
2169,gaan1 ,奸 
2170,koi3  ,溉 
2171,gaa3  ,稼 
2172,caak6 ,賊 
2173,fei1  ,妃 
2174,dau2  ,抖 
2175,cou3  ,醋 
2176,lim4  ,廉 
2177,hin1  ,掀 
2178,cing4 ,晴 
2179,fu3   ,褲 
2180,hau6  ,后 
2181,mong4 ,茫 
2182,hoi6  ,亥 
2183,jau4  ,悠 
2184,laan4 ,攔 
2185,wai6  ,慧 
2186,cin2  ,闡 
2187,zo3   ,佐 
2188,haau3 ,孝 
